name;address;lat;lng;Whatsapp;Site
CARRERA ACELERA SÃO JOSÉ DOS CAMPOS;12246-840 Avenida Deputado Benedito Matarazzo 5051 Parque Residencial Aquarius SP São José dos Campos;-232.231.746;-4.590.435.069.999.990;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA TAUBATE;12041-078 Av. Charles Schnneider 1861 BARRANCO SP Taubaté;-230.249.016;-455.840.715;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA VILA OLIMPIA;04550-002 Avenida Bandeirantes 1585 VILA OLÍMPIA SP São Paulo;-236.041.579;-466.793.797;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA VOTUPORANGA;15500-051 Avenida Brasil 5043 São Judas Tadeu SP Votuporanga;-204.086.762;-499.767.824;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CICAL RIBEIRAO PRETO;14026-600 Avenida Doutor José Cezário Monteiro da Silva Filho 270 Nova Aliança SP Ribeirão Preto;-21.217.415;-4.781.783;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CICAL UBERLANDIA;38400-658 Rua Rio de Janeiro 359 BRASIL MG Uberlândia;-188.964.959;-482.605.863;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
COMERI GUARUJA;11430-001 Av. Adhemar de Barros 1007 VILA SANTO ANTONIO SP Guarujá;-239.917.159;-462.695.586;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
COMERI PRAIA GRANDE;11702-480 Av. Presidente Kennedy 2980 Aviacao SP Praia Grande;-240.100.102;-464.382.916;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
COMERI SANTOS;11015-201 Avenida Washington Luis 105 Vila Matias SP Santos;-239.462.835;-463.343.711;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
DAHRUJ AMERICANA;13478-540 Avenida Nossa Senhora de Fátima 1041 Vila Israel SP Americana;-227.356.177;-473.158.226;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
