linha_origem;name;endereco_original;lat_original;lng_original;lat_corrigida;lng_corrigida;cidade;uf;cep;endereco_para_dsp
56;DINISA NITEROI;24350-310 Est. Francisco da Cruz Nunes 1482 PIRATININGA RJ Niterói;-229.291.882;-430.648.259;-22.929188;-43.064826;Niterói;RJ;24350310;Est Francisco da Cruz Nunes 1482 PIRATININGA Niteroi RJ 24350310 Brazil
57;DRSUL ARARANGUÁ;88900-000 477 SC Araranguá;-289.370.964;-494.840.256;-28.937096;-49.484026;Araranguá;SC;88900000;477 Ararangua SC 88900000 Brazil
58;DRSUL BENTO GONCALVES;95700-000 Rua Luiz Alegretti 373 LICORSUL RS Bento Gonçalves;-29.178.856;-515.310.508;-29.178856;-51.531051;Bento Gonçalves;RS;95700000;Rua Luiz Alegretti 373 LICORSUL Bento Goncalves RS 95700000 Brazil
59;DRSUL CAXIAS DO SUL;95054-030 Av. Rubens Bento Alves 492 SAGRADA FAMÍLIA RS Caxias do Sul;-291.530.731;-511.544.697;-29.153073;-51.15447;Caxias do Sul;RS;95054030;Av Rubens Bento Alves 492 SAGRADA FAMILIA Caxias do Sul RS 95054030 Brazil
60;DRSUL CRICIÚMA;88813-390 Avenida Jorge Elias de Lucca 85 Nossa Senhora da Salete SC Criciúma;-286.884.542;-493.400.896;-28.688454;-49.34009;Criciúma;SC;88813390;Avenida Jorge Elias de Lucca 85 Nossa Senhora da Salete Criciuma SC 88813390 Brazil
61;DRSUL IJUI;98700-000 Rod. BR 285 Hammarsfron RS Ijuí;-283.958.804;-538.969.032;-28.39588;-53.896903;Ijuí;RS;98700000;Rod BR 285 Hammarsfron Ijui RS 98700000 Brazil
62;DRSUL LAGES;88509501 Avenida Presidente Vargas 1494 Coral SC Lages;-278.104.274;-503.033.602;-27.810427;-50.30336;Lages;SC;88509501;Avenida Presidente Vargas 1494 Coral Lages SC 88509501 Brazil
63;DRSUL LAJEADO;99913-176 Estrada BR 386 1951 São Cristovão RS Lajeado;-29.453.735;-5.195.983.529.999.990;-29.453735;-51.959835;Lajeado;RS;99913176;Estrada BR 386 1951 Sao Cristovao Lajeado RS 99913176 Brazil
64;DRSUL RIO DO SUL;89163-020 Rodovia BR-470 7150 Canta Galo SC Rio do Sul;-272.027.554;-496.426.587;-27.202755;-49.642659;Rio do Sul;SC;89163020;Rodovia BR 470 7150 Canta Galo Rio do Sul SC 89163020 Brazil
65;DRSUL SANTA CRUZ DO SUL;96845-545 Rod BR 471- KM 56 3510 SCHULZ RS Santa Cruz do Sul;-297.153.084;-524.454.538;-29.715308;-52.445454;Santa Cruz do Sul;RS;96845545;Rod BR 471 KM 56 3510 SCHULZ Santa Cruz do Sul RS 96845545 Brazil
66;DUBAI MACAPA;68900-067 Rua Leopoldo Machado 1749 Central AP Macapá;0.0365384;-510.620.663;0.036538;-51.062066;Macapá;AP;68900067;Rua Leopoldo Machado 1749 Central Macapa AP 68900067 Brazil
67;EUROVIA PARALELA;41730-101 Avenida Luís Viana 6600 Paralela BA Salvador;-129.399.153;-384.105.405;-12.939915;-38.410541;Salvador;BA;41730101;Avenida Luis Viana 6600 Paralela Salvador BA 41730101 Brazil
68;EUROVIA AFOGADOS;50750-000 Estrada dos Remédios 1780 ILHA DO RETIRO PE Recife;-8.080.256.799.999.990;-349.066.444;-8.080257;-34.906644;Recife;PE;50750000;Estrada dos Remedios 1780 ILHA DO RETIRO Recife PE 50750000 Brazil
69;EUROVIA CAXANGA;50800-000 Avenida Caxangá 4210 Iputinga PE Recife;-8.038.138;-349.427.809;-8.038138;-34.942781;Recife;PE;50800000;Avenida Caxanga 4210 Iputinga Recife PE 50800000 Brazil
70;EUROVIA IMBIRIBEIRA;51180-001 Av. Marechal Mascarenhas de Moraes 2160 IMBIRIBEIRA PE Recife;-81.101.618;-3.491.266.299.999.990;-8.110162;-34.912663;Recife;PE;51180001;Av Marechal Mascarenhas de Moraes 2160 IMBIRIBEIRA Recife PE 51180001 Brazil
71;EUROVIA JABOATÃO DOS GUARARAPES;54330-000 Avenida Barreto de Menezes 697 Cajueiro Seco PE Jaboatão dos Guararapes;-8.169.146.399.999.990;-349.212.861;-8.169146;-34.921286;Jaboatão dos Guararapes;PE;54330000;Avenida Barreto de Menezes 697 Cajueiro Seco Jaboatao dos Guararapes PE 54330000 Brazil
72;EUROVIA LAURO DE FREITAS;42700-000 Av. Santos Dumont 2376 ITINGA BA Lauro de Freitas;-12.899.139;-38.331.622;-12.899139;-38.331622;Lauro de Freitas;BA;42700000;Av Santos Dumont 2376 ITINGA Lauro de Freitas BA 42700000 Brazil
73;EUROVIA SALVADOR;41950-000 Av. Antônio Carlos Magalhães 4925 IGUATEMI BA Salvador;-129.782.887;-384.738.118;-12.978289;-38.473812;Salvador;BA;41950000;Av Antonio Carlos Magalhaes 4925 IGUATEMI Salvador BA 41950000 Brazil
74;EUROVIA SALVADOR II;40295-140 Avenida Juracy Magalhães Júnior 1054 Horto Florestal BA Salvador;-13.005.955;-384.855.605;-13.005955;-38.48556;Salvador;BA;40295140;Avenida Juracy Magalhaes Junior 1054 Horto Florestal Salvador BA 40295140 Brazil
75;FORT AV. ROGACIANO LEITE;60810-786 Avenida Rogaciano Leite 688 Patriolino Ribeiro CE Fortaleza;-37.635.946;-3.849.481.189.999.990;-3.763595;-38.494812;Fortaleza;CE;60810786;Avenida Rogaciano Leite 688 Patriolino Ribeiro Fortaleza CE 60810786 Brazil
