linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
79;;;endereco;Rua Pedroso Alvarenga, 1254, Itaim Bibi, São Paulo - SP, 04531-012, Brasil;Rua Pedroso Alvarenga 1254 Sao Paulo SP 04531012 Brazil;São Paulo;SP;04531012;-23.58265;-46.68237;-23.58265;-46.68237;Itaim Bibi;;
80;;;endereco;Chesse Cake, Rua Líbero Badaró, 398, Sé, São Paulo - SP, 01008-000, Brasil;Rua Libero Badaro 398 Sao Paulo SP 01008000 Brazil;São Paulo;SP;01008000;-23.54622;-46.63585;-23.54622;-46.63585;Sé;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
81;;;endereco;Rua Barão de Jundiaí, 397, Centro, Jundiaí - SP, 13201-010, Brasil;Rua Barao de Jundiai 397 Jundiai SP 13201010 Brazil;Jundiaí;SP;13201010;-23.19104;-46.88246;-23.19104;-46.88246;Centro;;
82;;;endereco;Rua Visconde do Rio Branco, 11A, Monte Mor - SP, 13190-000, Brasil;Rua Visconde do Rio Branco 11A Monte Mor SP 13190000 Brazil;Monte Mor;SP;13190000;-22.95062;-47.30681;-22.95062;-47.30681;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
83;;;endereco;Rua Quinze de Novembro, 1803, Cidade Alta, Piracicaba - SP, 13417-100, Brasil;Rua Quinze de Novembro 1803 Piracicaba SP 13417100 Brazil;Piracicaba;SP;13417100;-22.73039;-47.64032;-22.73039;-47.64032;Cidade Alta;;
84;;;endereco;Rua Sebastião Monteiro dos Santos, 354, Jardim Nova Itália, Limeira - SP, 13484-329, Brasil;Rua Sebastiao Monteiro dos Santos 354 Limeira SP 13484329 Brazil;Limeira;SP;13484329;-22.56077;-47.41709;-22.56077;-47.41709;Jardim Nova Itália;;
85;;;endereco;Avenida Presidente Vargas, 3235, Indaiatuba - SP, 13338-705, Brasil;Avenida Presidente Vargas 3235 Indaiatuba SP 13338705 Brazil;Indaiatuba;SP;13338705;-23.08476;-47.18417;-23.08476;-47.18417;;;
86;;;endereco;Gênesis Informática, Rua Romano Anselmo Fontana, 839, Centro, Concórdia - SC, 89700-000, Brasil;Rua Romano Anselmo Fontana 839 Concordia SC 89700000 Brazil;Concórdia;SC;89700000;-27.22632;-52.02992;-27.22632;-52.02992;Centro;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
87;;;endereco;Rua Pedro Álvares Cabral, 574, Centro, Erechim - RS, 99700-248, Brasil;Rua Pedro Alvares Cabral 574 Erechim RS 99700248 Brazil;Erechim;RS;99700248;-27.63946;-52.26913;-27.63946;-52.26913;Centro;;
88;;;endereco;Rua Santa Catarina, 864, Nazaré, Concórdia - SC, 89707-024, Brasil;Rua Santa Catarina 864 Concordia SC 89707024 Brazil;Concórdia;SC;89707024;-27.23556;-52.03725;-27.23556;-52.03725;Nazaré;;
89;;;endereco;Rua Thomaz Gonzaga, 1, Vila Fátima, Passo Fundo - RS, 99020-170, Brasil;Rua Thomaz Gonzaga 1 Passo Fundo RS 99020170 Brazil;Passo Fundo;RS;99020170;-28.24775;-52.40644;-28.24775;-52.40644;Vila Fátima;;
90;;;endereco;Rua Teixeira Soares, 1117, Centro, Passo Fundo - RS, 99010-080, Brasil;Rua Teixeira Soares 1117 Passo Fundo RS 99010080 Brazil;Passo Fundo;RS;99010080;-28.26272;-52.41248;-28.26272;-52.41248;Centro;;
91;;;endereco;Rua Independência, 829, Centro, Passo Fundo - RS, 99010-041, Brasil;Rua Independencia 829 Passo Fundo RS 99010041 Brazil;Passo Fundo;RS;99010041;-28.26384;-52.40775;-28.26384;-52.40775;Centro;;
92;;;endereco;Rua Herculano Hércules Zanuzzo, 500, Seara - SC, 89770-000, Brasil;Rua Herculano Hercules Zanuzzo 500 Seara SC 89770000 Brazil;Seara;SC;89770000;-27.15885;-52.31592;-27.15885;-52.31592;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
