linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
163;;;endereco;Pizza Hut, Rua Prof. Pedro V. Parigot de Souza, Mossungue, Curitiba - PR, 81200-100, Brasil;Rua Prof Pedro V Parigot de Souza Mossungue Curitiba PR 81200100 Brazil;Curitiba;PR;81200100;-25.43564;-49.3164;-25.43564;-49.3164;;ALTO;sem numero de porta
164;;;endereco;Dermage, Avenida das Américas, 7777, Barra da Tijuca, Rio de Janeiro - RJ, 22793-081, Brasil;Avenida das Americas 7777 Rio de Janeiro RJ 22793081 Brazil;Rio de Janeiro;RJ;22793081;-23.00134;-43.38631;-23.00134;-43.38631;Barra da Tijuca;;
165;;;endereco;Fast Burgers, Avenida Ferreira Viana, Areal, Pelotas - RS, 96085-000, Brasil;Avenida Ferreira Viana Areal Pelotas RS 96085000 Brazil;Pelotas;RS;96085000;-31.75955;-52.31867;-31.75955;-52.31867;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
166;;;endereco;Avenida Deputado Jacob Salvador Sveibel, Butantã, São Paulo - SP, 05512-390, Brasil;Avenida Deputado Jacob Salvador Sveibel Butanta Sao Paulo SP 05512390 Brazil;São Paulo;SP;05512390;-23.58538;-46.72437;-23.58538;-46.72437;;ALTO;sem numero de porta
167;;;endereco;Puket, Águas Claras - DF, 71931-720, Brasil;Puket Aguas Claras DF 71931720 Brazil;Águas Claras;DF;71931720;-15.8355;-48.04129;-15.8355;-48.04129;;ALTO;"sem numero de porta; logradouro sem nome"
168;;;endereco;A Suissa, Avenida Aldino Pinotti, Centro, São Bernardo do Campo - SP, 09750-730, Brasil;Avenida Aldino Pinotti Centro Sao Bernardo do Campo SP 09750730 Brazil;São Bernardo do Campo;SP;09750730;-23.6927;-46.55111;-23.6927;-46.55111;;ALTO;sem numero de porta
169;;;endereco;Rua Doze, 100, Siderlândia, Volta Redonda - RJ, 27273-230, Brasil;Rua Doze 100 Volta Redonda RJ 27273230 Brazil;Volta Redonda;RJ;27273230;-22.52077;-44.1353;-22.52077;-44.1353;Siderlândia;;
170;;;endereco;Barreds's, Rodovia Dom Gabriel Paulino Bueno Couto, 422, São Luiz, Itu - SP, 13304-350, Brasil;Rodovia Dom Gabriel Paulino Bueno Couto 422 Itu SP 13304350 Brazil;Itu;SP;13304350;-23.26488;-47.28171;-23.26488;-47.28171;São Luiz;ALTO;endereco de rodovia (57-67% falharam)
171;;;endereco;McDonald's, Avenida São Paulo, 1099, Zona 1, Maringá - PR, 87013-040, Brasil;Avenida Sao Paulo 1099 Maringa PR 87013040 Brazil;Maringá;PR;87013040;-23.4223;-51.9328;-23.4223;-51.9328;Zona 1;;
172;;;endereco;Gelateria Parmalat, Avenida Giovanni Gronchi, Vila Andrade, São Paulo - SP, 05724-003, Brasil;Avenida Giovanni Gronchi Vila Andrade Sao Paulo SP 05724003 Brazil;São Paulo;SP;05724003;-23.63123;-46.73587;-23.63123;-46.73587;;ALTO;sem numero de porta
