linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
55;;;endereco;Alameda Santos, 1940, Jardim Paulista, São Paulo - SP, 01418-102, Brasil;Alameda Santos 1940 Sao Paulo SP 01418102 Brazil;São Paulo;SP;01418102;-23.56036;-46.65937;-23.56036;-46.65937;Jardim Paulista;;
56;;;endereco;Rua Doutor Veiga Filho, 778, Consolação, São Paulo - SP, 01229-000, Brasil;Rua Doutor Veiga Filho 778 Sao Paulo SP 01229000 Brazil;São Paulo;SP;01229000;-23.53814;-46.66248;-23.53814;-46.66248;Consolação;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
57;;;endereco;Thinksuccess 7th Edition, Itaim Bibi, São Paulo - SP, 04707-000, Brasil;Thinksuccess 7th Edition Itaim Bibi Sao Paulo SP 04707000 Brazil;São Paulo;SP;04707000;-23.62029;-46.69895;-23.62029;-46.69895;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
58;;;endereco;Rua Francisco Taranto, 18, Sacomã, São Paulo - SP, 04187-220, Brasil;Rua Francisco Taranto 18 Sao Paulo SP 04187220 Brazil;São Paulo;SP;04187220;-23.64678;-46.59489;-23.64678;-46.59489;Sacomã;;
59;;;endereco;MultiPark Internacional Plaza JK II, Avenida Presidente Juscelino Kubitschek, 3900, Itaim Bibi, São Paulo - SP, 04543-011, Brasil;Avenida Presidente Juscelino Kubitschek 3900 Sao Paulo SP 04543011 Brazil;São Paulo;SP;04543011;-23.59116;-46.68223;-23.59116;-46.68223;Itaim Bibi;;
60;;;endereco;Rua Jundiaí, 149, Moema, São Paulo - SP, 04001-140, Brasil;Rua Jundiai 149 Sao Paulo SP 04001140 Brazil;São Paulo;SP;04001140;-23.57625;-46.65773;-23.57625;-46.65773;Moema;;
61;;;endereco;Praça da República, 295, República, São Paulo - SP, 01045-001, Brasil;Praca da Republica 295 Sao Paulo SP 01045001 Brazil;São Paulo;SP;01045001;-23.54363;-46.64443;-23.54363;-46.64443;República;;
62;;;endereco;Rua Santos Dumont, 317, Jataizinho - PR, 86210-000, Brasil;Rua Santos Dumont 317 Jataizinho PR 86210000 Brazil;Jataizinho;PR;86210000;-23.26066;-50.97552;-23.26066;-50.97552;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
63;;;endereco;Rua Antônio Moreno Eggea, 109, Jataizinho - PR, 86210-000, Brasil;Rua Antonio Moreno Eggea 109 Jataizinho PR 86210000 Brazil;Jataizinho;PR;86210000;-23.26068;-50.97501;-23.26068;-50.97501;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
64;;;endereco;Rua Ezau Silveira, 438, Alvorada do Sul - PR, 86150-000, Brasil;Rua Ezau Silveira 438 Alvorada do Sul PR 86150000 Brazil;Alvorada do Sul;PR;86150000;-22.78155;-51.22936;-22.78155;-51.22936;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
65;;;endereco;Rua Antônio Schemberger, 662, Estrela, Ponta Grossa - PR, 84063-220, Brasil;Rua Antonio Schemberger 662 Ponta Grossa PR 84063220 Brazil;Ponta Grossa;PR;84063220;-25.1148;-50.17232;-25.1148;-50.17232;Estrela;;
66;;;endereco;RBS the Royal Bank of Scotland, Itaim Bibi, São Paulo - SP, 01451-011, Brasil;RBS the Royal Bank of Scotland Itaim Bibi Sao Paulo SP 01451011 Brazil;São Paulo;SP;01451011;-23.5851;-46.68232;-23.5851;-46.68232;;ALTO;sem numero de porta
67;;;endereco;Rua Maestro Cardim, 407, Bela Vista, São Paulo - SP, 01323-000, Brasil;Rua Maestro Cardim 407 Sao Paulo SP 01323000 Brazil;São Paulo;SP;01323000;-23.56451;-46.64111;-23.56451;-46.64111;Bela Vista;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
68;;;endereco;Ibravin, Rua Alameda Fenavinho, 29, Fenavinho, Bento Gonçalves - RS, 95700-000, Brasil;Rua Alameda Fenavinho 29 Bento Goncalves RS 95700000 Brazil;Bento Gonçalves;RS;95700000;-29.16733;-51.49205;-29.16733;-51.49205;Fenavinho;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
69;;;endereco;Avenida Independência, Novo Esteio, Esteio - RS, 93270-010, Brasil;Avenida Independencia Novo Esteio Esteio RS 93270010 Brazil;Esteio;RS;93270010;-29.85375;-51.18084;-29.85375;-51.18084;;ALTO;sem numero de porta
70;;;endereco;Avenida Independência, 64, Centro Histórico, Porto Alegre - RS, 90035-070, Brasil;Avenida Independencia 64 Porto Alegre RS 90035070 Brazil;Porto Alegre;RS;90035070;-30.02981;-51.22084;-30.02981;-51.22084;Centro Histórico;;
71;;;endereco;Estrada São José, Encantado - RS, 95960-000, Brasil;Estrada Sao Jose Encantado RS 95960000 Brazil;Encantado;RS;95960000;-29.23766;-51.9;-29.23766;-51.9;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
72;;;endereco;Attilio TineliGaragem de Estacionamento, Rua Quintana, Itaim Bibi, São Paulo - SP, 04569-011, Brasil;Rua Quintana Itaim Bibi Sao Paulo SP 04569011 Brazil;São Paulo;SP;04569011;-23.60248;-46.69355;-23.60248;-46.69355;;ALTO;sem numero de porta
73;;;endereco;Estrada Jangadinha, Porto União - SC, 89400-000, Brasil;Estrada Jangadinha Porto Uniao SC 89400000 Brazil;Porto União;SC;89400000;-26.37278;-51.25391;-26.37278;-51.25391;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
74;;;endereco;Hípica Centaurus, Tatuí - SP, Brasil;Hipica Centaurus Tatui SP Brazil;Tatuí;SP;;-23.35721;-47.82463;-23.35721;-47.82463;;ALTO;sem numero de porta
75;;;endereco;Rua Eli Alves, 80, Subsetor Leste-3, Ribeirão Preto - SP, 14096-130, Brasil;Rua Eli Alves 80 Ribeirao Preto SP 14096130 Brazil;Ribeirão Preto;SP;14096130;-21.20468;-47.78814;-21.20468;-47.78814;Subsetor Leste-3;;
76;;;endereco;Avenida Cezira Giovanoni Moretti, Santa Rosa, Piracicaba - SP, 13414-157, Brasil;Avenida Cezira Giovanoni Moretti Santa Rosa Piracicaba SP 13414157 Brazil;Piracicaba;SP;13414157;-22.69574;-47.6186;-22.69574;-47.6186;;ALTO;sem numero de porta
77;;;endereco;Via Anhanguera, Bairro Pires, Limeira - SP, 13486-199, Brasil;Via Anhanguera Bairro Pires Limeira SP 13486199 Brazil;Limeira;SP;13486199;-22.55309;-47.37217;-22.55309;-47.37217;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta"
78;;;endereco;Avenida Ireno da Silva Venâncio, Votorantim - SP, 18111-100, Brasil;Avenida Ireno da Silva Venancio Votorantim SP 18111100 Brazil;Votorantim;SP;18111100;-23.53657;-47.4497;-23.53657;-47.4497;;ALTO;sem numero de porta
79;;;endereco;Avenida Comendador Thomaz Fortunato, 3435, Chácara Letônia, Americana - SP, 13475-010, Brasil;Avenida Comendador Thomaz Fortunato 3435 Americana SP 13475010 Brazil;Americana;SP;13475010;-22.7323;-47.28617;-22.7323;-47.28617;Chácara Letônia;;
80;;;endereco;Alameda Carla, Condomínio Terras de São José, Itu - SP, 13306-424, Brasil;Alameda Carla Condominio Terras de Sao Jose Itu SP 13306424 Brazil;Itu;SP;13306424;-23.2988;-47.29579;-23.2988;-47.29579;;ALTO;sem numero de porta
81;;;endereco;Estrada Itu-157, 1522, Itu - SP, Brasil;Estrada Itu 157 1522 Itu SP Brazil;Itu;SP;;-23.31584;-47.32304;-23.31584;-47.32304;;ALTO;endereco de rodovia (57-67% falharam)
82;;;endereco;Parque Brasil 500, Parque Brasil 500, Paulínia - SP, 13140-000, Brasil;Parque Brasil 500 Paulinia SP 13140000 Brazil;Paulínia;SP;13140000;-22.78523;-47.15763;-22.78523;-47.15763;Parque Brasil 500;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
83;;;endereco;Rua Francisco V. Blanco, 45, Olímpia - SP, 15400-000, Brasil;Rua Francisco V Blanco 45 Olimpia SP 15400000 Brazil;Olímpia;SP;15400000;-20.72437;-48.91604;-20.72437;-48.91604;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
84;;;endereco;Rua José Grande, 163, Vila Bressan, Araras - SP, 13600-529, Brasil;Rua Jose Grande 163 Araras SP 13600529 Brazil;Araras;SP;13600529;-22.35552;-47.37372;-22.35552;-47.37372;Vila Bressan;;
85;;;endereco;Ponte Dom Tito Buss, Jardim América, Rio do Sul - SC, 89160-000, Brasil;Jardim America Rio do Sul SC 89160000 Brazil;Rio do Sul;SC;89160000;-27.20871;-49.63273;-27.20871;-49.63273;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
86;;;endereco;Avenida Coronel Pacífico Pinto, 840, Nova Serrana - MG, 35523-210, Brasil;Avenida Coronel Pacifico Pinto 840 Nova Serrana MG 35523210 Brazil;Nova Serrana;MG;35523210;-19.87441;-45.00355;-19.87441;-45.00355;;;
87;;;endereco;Alameda Ezequiel Dias, 365, Santa Efigênia, Belo Horizonte - MG, 30130-110, Brasil;Alameda Ezequiel Dias 365 Belo Horizonte MG 30130110 Brazil;Belo Horizonte;MG;30130110;-19.92572;-43.93133;-19.92572;-43.93133;Santa Efigênia;;
89;;;endereco;Rua Walter Rodrigues da Silva, 547, Tiradentes - MG, 36325-000, Brasil;Rua Walter Rodrigues da Silva 547 Tiradentes MG 36325000 Brazil;Tiradentes;MG;36325000;-21.12783;-44.17008;-21.12783;-44.17008;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
90;;;endereco;Magrí, Mangabeiras, Belo Horizonte - MG, 30210-110, Brasil;Magri Mangabeiras Belo Horizonte MG 30210110 Brazil;Belo Horizonte;MG;30210110;-19.95469;-43.91277;-19.95469;-43.91277;;ALTO;sem numero de porta
91;;;endereco;Autódromo Velo Cittá, Mogi Guaçu - SP, Brasil;Autodromo Velo Citta Mogi Guacu SP Brazil;Mogi Guaçu;SP;;-22.28518;-46.8511;-22.28518;-46.8511;;ALTO;sem numero de porta
92;;;endereco;Rua José Monti Sobrinho, Pedralva - MG, 37520-000, Brasil;Rua Jose Monti Sobrinho Pedralva MG 37520000 Brazil;Pedralva;MG;37520000;-22.23329;-45.47214;-22.23329;-45.47214;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
