severidade;linha;nome;endereco_dsp;risco
MEDIO;3;;Rua Doutor Avelino Queiroz 191 Capitolio MG 37930000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;5;;Avenida Sao Joao 298 Penha SC 88385000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;6;;Rua Sao Paulo 780 Itanhaem SP 11740000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;8;;Rua do Prefeito 295 Torres RS 95560000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;9;;Avenida Joao Carraro 256 Porto Rico PR 87950000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;11;;Rua Minas Gerais 474 Sertaneja PR 86340000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;17;;Avenida Agenor Nogueira 1115 Presidente Epitacio SP 19470000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;18;;Marina Flat Pier 22 Caraguatatuba SP 11667000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;19;;Rua Pedro Balbino de Souza 17 Carlopolis PR 86420000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;20;;Avenida Antonio Sindeaux de Lima 349 Santa Clara d Oeste SP 15785000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;22;;Rua Maria Francisca Pereira 1676 Rosana SP 19273000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;25;;Avenida Joao Jose da Cruz 777 Bombinhas SC 88215000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;27;;Rua Quatorze 531 Cachoeira Dourada MG 38370000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;29;;Rua A S da Silva 113 Penha SC 88385000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;30;;Rua Portugal 67 Sao Francisco do Sul SC 89240000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;31;;Alameda Pintassilgo 14 Carlopolis PR 86420000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;32;;Rua Otavio Carlos 105A Bom Sucesso MG 37220000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;34;;Rua Hespanhol 522 Passo de Torres SC 88980000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;40;;Rua Augusto de Lima 889 Itanhaem SP 11740000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;41;;Avenida Beira Rio 346 Porto Rico PR 87950000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;42;;Rua Fortaleza 25 Sao Joao Batista do Gloria MG 37920000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;44;;Rua Floresta 985 Paraty RJ 23970000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;45;;Avenida Prefeito Cirino Cabral 9515 Navegantes SC 88375000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;46;;Rua Arthur Bernardes 66 Marechal Candido Rondon PR 85960000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;48;;Avenida Euginio Jose Gomes 95 Santa Clara d Oeste SP 15785000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;49;;Avenida Maringa 11 Marilena PR 87960000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;50;;Avenida Benedito Valadares 47 Sacramento MG 38190000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;53;;Rua M T da Conceicao 23 Nazare Paulista SP 12960000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;55;;Avenida Forca Expedicionaria Brasileira 495 Ilhabela SP 11630000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;58;;Rua Maria Francisca Pereira 1997 Rosana SP 19273000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;63;;Avenida Parana 556 Sao Pedro do Parana PR 87955000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
