severidade;linha;nome;endereco_dsp;risco
MEDIO;63;;Rua Antonio Moreno Eggea 109 Jataizinho PR 86210000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;64;;Rua Ezau Silveira 438 Alvorada do Sul PR 86150000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;67;;Rua Maestro Cardim 407 Sao Paulo SP 01323000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;68;;Rua Alameda Fenavinho 29 Bento Goncalves RS 95700000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;82;;Parque Brasil 500 Paulinia SP 13140000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;83;;Rua Francisco V Blanco 45 Olimpia SP 15400000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;89;;Rua Walter Rodrigues da Silva 547 Tiradentes MG 36325000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;94;;Avenida Doutor Irineu Goncalves da Silva 1200 Campos do Jordao SP 12460000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;124;;Rua Santa Luzia 145 Ouro Preto MG 35413000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;125;;Avenida das Arvores 290 Lagoa Santa MG 33400000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;126;;Avenida Governador Israel Pinheiro da Silva 3989 Rio Acima MG 34300000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;133;;Avenida das Nacoes Unidas 12999 Sao Paulo SP 04578000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;141;;Alameda Itu 852 Sao Paulo SP 01421000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;142;;Rua Oscar Freire 390 Sao Paulo SP 01426000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;222;;Fazenda Mabra 01 Nazario GO 76180000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;227;;Avenida Alfredo Camaratti 449 Belo Horizonte MG 31310000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;229;;Avenida das Nacoes Unidas 12495 Sao Paulo SP 04578000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
