severidade;linha;nome;endereco_dsp;risco
ALTO;631;;Imobiliaria Wolf Sorocaba SP 18085850 Brazil;sem numero de porta
ALTO;659;;Polo Wear Primavera Guarapuava PR 85050030 Brazil;sem numero de porta
ALTO;699;;Estrada do Tindiba Taquara Rio de Janeiro RJ 22730262 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;700;;Estrada Sao Tarcisio 144 Rio de Janeiro RJ 23530827 Brazil;endereco de rodovia (57-67% falharam)
ALTO;701;;Rua Rosalina Bravo Barra da Tijuca Rio de Janeiro RJ 22631260 Brazil;sem numero de porta
ALTO;711;;Banco 24horas Rua Goncalves Dias Santo Agostinho Belo Horizonte MG 30140094 Brazil;sem numero de porta
ALTO;728;;Carlos Trein Filho AL 1325 Esq Barao de Uba Rua Carlos Trein Filho Bela Vista Porto Alegre RS 90450120 Brazil;sem numero de porta
ALTO;736;;Shn Bloco B Asa Norte Brasilia DF 70704020 Brazil;sem numero de porta
ALTO;741;;Rua Rio Branco 23 34 Vila Nova Santa Clara Bauru SP 17014037 Brazil;sem numero de porta
ALTO;744;;Catedral de Nossa Senhora das Dores Praca Doutor Luciano Esteves Centro Limeira SP 13480211 Brazil;sem numero de porta
ALTO;748;;Rua Redentora Imperial Sao Jose do Rio Preto SP 15015780 Brazil;sem numero de porta
ALTO;750;;Avenida Republica do Libano 1A 15 Aeroporto Goiania GO 74070045 Brazil;sem numero de porta
ALTO;752;;Srtvs 12 Asa Sul Brasilia DF 70340901 Brazil;sem numero de porta
ALTO;757;;Avenida Presidente Kennedy Indaiatuba SP 13334170 Brazil;sem numero de porta
ALTO;774;;Rua Rio Branco 24 65 Vila Samaritana Bauru SP 17016190 Brazil;sem numero de porta
ALTO;785;;Rua Treze de Maio Bela Vista Sao Paulo SP 04849529 Brazil;sem numero de porta
ALTO;787;;Avenida Brigadeiro Faria Lima Pinheiros Sao Paulo SP 05423150 Brazil;sem numero de porta
ALTO;792;;Rua Roma Lapa Sao Paulo SP 05050090 Brazil;sem numero de porta
ALTO;802;;Cafe da Sinagoga Pinheiros Sao Paulo SP 01455000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;815;;Rua Candelaria Centro Rio de Janeiro RJ 20091020 Brazil;sem numero de porta
ALTO;820;;Netatur Praca Estado da Palestina Oeste Goiania GO 74115071 Brazil;sem numero de porta
ALTO;835;;Rua Rio Branco 24 25 Vila Samaritana Bauru SP 17016190 Brazil;sem numero de porta
ALTO;836;;Avenida Brasil Manoel Honorio Juiz de Fora MG 36035030 Brazil;sem numero de porta
ALTO;848;;Avenida Brigadeiro Faria Lima Pinheiros Sao Paulo SP 01452001 Brazil;sem numero de porta
ALTO;851;;Rua Tupi Centro Historico Londrina PR 86020350 Brazil;sem numero de porta
ALTO;866;;Rua XV de Novembro Telemaco Borba PR 84265400 Brazil;sem numero de porta
ALTO;883;;Rua Doutor Joao Colin Centro Joinville SC 89201299 Brazil;sem numero de porta
ALTO;889;;Rua Treze de Maio Bela Vista Sao Paulo SP 04849529 Brazil;sem numero de porta
ALTO;898;;Rua Gustavo Maciel 25 85 Vila Samaritana Bauru SP 17012110 Brazil;sem numero de porta
ALTO;899;;Rua Virgilio Malta 22 16 Jardim Estoril Bauru SP 17016080 Brazil;sem numero de porta
ALTO;912;;Rua Fulvio Salvador Pagani Campinas SP 13080657 Brazil;sem numero de porta
