audiencia;lat;lng
marinas;-2.97355;-60.08377
marinas;-20.78817;-51.70305
marinas;-11.12962;-54.46308
marinas;-1.39779;-48.32178
marinas;-9.38576;-37.99902
marinas;-20.29116;-40.30055
marinas;-13.37002;-39.07206
marinas;-7.01823;-34.82995
marinas;-4.2699;-55.97754
restaurantes;-7.19324;-39.32757
restaurantes;-3.72926;-38.53057
restaurantes;-13.01113;-38.49314
restaurantes;43.09146;-0.04573
restaurantes;-3.74372;-38.50239
restaurantes;-3.74133;-38.47275
restaurantes;-3.7386;-38.49197
restaurantes;-8.0926;-34.88403
restaurantes;-13.00736;-38.52472
restaurantes;-1.44385;-48.48605
restaurantes;-16.5978;-39.08942
restaurantes;-3.84519;-32.42832
restaurantes;-12.45811;-37.93142
restaurantes;-8.50653;-35.00596
restaurantes;-2.99534;-59.97389
restaurantes;-6.2268;-35.04503
restaurantes;-8.06067;-34.96118
restaurantes;-8.01161;-34.85394
restaurantes;-12.97805;-38.5142
restaurantes;-9.51823;-43.00457
restaurantes;-25.59389;-54.51334
restaurantes;-2.53045;-44.30519
restaurantes;1.22425;-51.01015
restaurantes;-8.03439;-34.92434
shoppings;-3.75605;-38.48934
shoppings;-13.8728;-41.8998
shoppings;-12.77785;-38.92125
shoppings;-1.45785;-48.49465
