lat,lng,formatted_address,city,uf,cep
-23.2981,-50.07269,"Eliana - Maria Mole Ateliã., Rua Coronel Capucho, 66, Santo Antônio da Platina - PR, 86430-000, Brasil",Santo Antônio da Platina,PR,86430-000
-22.99735,-43.26438,"Estrada da Gávea, 800, São Conrado, Rio de Janeiro - RJ, 22610-002, Brasil",Rio de Janeiro,RJ,22610-002
-25.3944,-51.46725,"Rua XV de Novembro, 7640, Centro, Guarapuava - PR, 85010-000, Brasil",Guarapuava,PR,85010-000
-16.31186,-49.06249,"GO-330, Campo Limpo de Goiás - GO, 75160-000, Brasil",Campo Limpo de Goiás,GO,75160-000
-22.76694,-43.40286,"Rua Dona Dagmar, 230, Centro, Belford Roxo - RJ, 26130-220, Brasil",Belford Roxo,RJ,26130-220
-16.78238,-49.3538,"Rua Oitenta e Oito, 7-12, Baliza-Itaipu, Goiânia - GO, 74355-466, Brasil",Goiânia,GO,74355-466
-23.19056,-46.93639,"Avenida Manoel Cabral, Jundiaí - SP, 13211-224, Brasil",Jundiaí,SP,13211-224
-22.23263,-49.9802,"Rua Professor Antônio Reginato, 238, Marília - SP, 17526-290, Brasil",Marília,SP,17526-290
-20.89384,-45.27214,"Rua Barão do Rio Branco, 150, Campo Belo - MG, 37270-000, Brasil",Campo Belo,MG,37270-000
-23.43463,-51.94688,"ímpar, Rua Nilo Peçanha, Zona 4, Maringá - PR, 87014-240, Brasil",Maringá,PR,87014-240
-17.08068,-40.93874,"Rua Neném Baiano, 17, Águas Formosas - MG, 39880-000, Brasil",Águas Formosas,MG,39880-000
-23.4364,-50.56196,"Avenida Quatorze de Dezembro, 47, Nova Fátima - PR, 86310-000, Brasil",Nova Fátima,PR,86310-000
-20.55998,-48.56601,"Rua Dezesseis, 850, Centro, Barretos - SP, 14780-050, Brasil",Barretos,SP,14780-050
-20.72051,-46.61162,"Rua Coronel João de Barros, 340, Centro, Passos - MG, 37900-049, Brasil",Passos,MG,37900-049
-19.88284,-44.5979,"Rua José Simões, 583, Pará de Minas - MG, 35661-258, Brasil",Pará de Minas,MG,35661-258
-21.5333,-42.61732,"Bar e Restaurante Grotão, Rua João Batista Ferreira, Leopoldina - MG, 36700-482, Brasil",Leopoldina,MG,36700-482
-23.06198,-47.15742,"Avenida Hurlinghan, 8, Indaiatuba - SP, 13337-420, Brasil",Indaiatuba,SP,13337-420
-23.41957,-49.71761,"Academia do Caravela, Rua Salvira Marques, Carlópolis - PR, 86420-000, Brasil",Carlópolis,PR,86420-000
-16.8185,-49.24044,"BR-153, Jardim das Acácias, Aparecida de Goiânia - GO, 74987-300, Brasil",Aparecida de Goiânia,GO,74987-300
-16.55857,-41.50255,"Shell, Rodovia Santos Dumont, Itaobim - MG, 39625-000, Brasil",Itaobim,MG,39625-000
-23.16867,-47.07155,"Estrada Iva-351, Itupeva - SP, 13295-000, Brasil",Itupeva,SP,13295-000
-18.77495,-46.40616,"Avenida Juscelino Kubitschek, 94, Lagoa Formosa - MG, 38720-000, Brasil",Lagoa Formosa,MG,38720-000
-23.32621,-53.06642,"Rua Adão de Oliveira, 712, Tapira - PR, 87830-000, Brasil",Tapira,PR,87830-000
-25.40716,-49.24861,"Avenida Munhoz da Rocha, Cabral, Curitiba - PR, 80035-000, Brasil",Curitiba,PR,80035-000
-22.6263,-43.90586,"Rua Moacyr Barbosa, 264, Piraí - RJ, 27175-000, Brasil",Piraí,RJ,27175-000
-17.2202,-46.8701,"Rua Rio Grande do Sul, 850, Paracatu - MG, 38600-000, Brasil",Paracatu,MG,38600-000
-22.51125,-43.17793,"Rua Aureliano Coutinho, Petrópolis - RJ, 25625-000, Brasil",Petrópolis,RJ,25625-000
-18.93115,-48.27533,"Acesso ao Cajubá Country Clube, Vigilato Pereira, Uberlândia - MG, 38408-616, Brasil",Uberlândia,MG,38408-616
-21.20396,-42.85903,"Rua Vereador Altamiro Campos Silveira, 15, Rodeiro - MG, 36510-000, Brasil",Rodeiro,MG,36510-000
-15.82637,-50.60874,"Avenida Tancredo Neves, 110, Itapirapuã - GO, 76290-000, Brasil",Itapirapuã,GO,76290-000
-30.02016,-51.1714,"Rua Líbero Badaró, 322, Passo da Areia, Porto Alegre - RS, 91340-230, Brasil",Porto Alegre,RS,91340-230
-23.04417,-50.22625,"Rua Bandeirantes, 893, Andirá - PR, 86380-000, Brasil",Andirá,PR,86380-000
-23.71157,-47.40563,"Rua Saladino de Araújo Leite, 451, Piedade - SP, 18170-000, Brasil",Piedade,SP,18170-000
-22.73526,-53.03902,"Rua Natal, 675, Marilena - PR, 87960-000, Brasil",Marilena,PR,87960-000
-15.90854,-47.94067,"Smpw Quadra 18 Conjunto 3, Park Way - DF, 71741-800, Brasil",Park Way,DF,71741-800
-23.03657,-50.83213,"Rua Vicente Machado, Sertaneja - PR, 86340-000, Brasil",Sertaneja,PR,86340-000
-23.55343,-46.89204,"Avenida Flamboyant, 17, Altos de São Fernando, Jandira - SP, 06630-000, Brasil",Jandira,SP,06630-000
-23.31114,-51.36487,"Rua Estilac Leal, 401, Rolândia - PR, 86600-115, Brasil",Rolândia,PR,86600-115
-21.08302,-42.4495,"Muriaé, MG, Brasil",Muriaé,MG,36880-003
-24.59003,-53.51832,"Rua da Cultura, 422, Tupãssi - PR, 85945-000, Brasil",Tupãssi,PR,85945-000
-23.27658,-45.90196,"Rua Almirante Barroso, 152, São José dos Campos - SP, 12234-020, Brasil",São José dos Campos,SP,12234-020
