name,storechain,place_id,formatted_address,city,admin_area,uf,country,cep,lat,lng,categories,types,rating,source,metadata,POI,Estado,Latitude,Longitude,Radius Distance
,,,"Alameda Doutor Celso Leon Salles, 26, Vila Formosa, Blumenau - SC, 89015-440, Brasil",Blumenau,,SC,,89015-440,-26.93579,-49.06729,,,,,,Concessionárias,Demais Praças,-26.9359216,-49.06737589999999,0.3
,,,"Panvel, Avenida Ruben Bento Alves, 785, Sagrada Família, Caxias do Sul - RS, 95012-500, Brasil",Caxias do Sul,,RS,,95012-500,-29.15255,-51.1573,,,,,,Concessionárias,Demais Praças,-29.1527406,-51.157169,0.3
,,,"Rua Santa Joaquina de Vedruna, 2686, Zona 5, Maringá - PR, 87015-150, Brasil",Maringá,,PR,,87015-150,-23.42393,-51.95473,,,,,,Concessionárias,Demais Praças,-23.4240135,-51.9548093,0.3
,,,"Rua Santa Joaquina de Vedruna, 506, Zona 5, Maringá - PR, 87015-150, Brasil",Maringá,,PR,,87015-150,-23.42388,-51.95483,,,,,,Concessionárias,Demais Praças,-23.4238627,-51.9549482,0.3
,,,"BMW, Avenida das Américas, 1690, Barra da Tijuca, Rio de Janeiro - RJ, 22640-101, Brasil",Rio de Janeiro,,RJ,,22640-101,-23.00017,-43.33165,,,,,,Concessionárias,Demais Praças,-23.0001664,-43.3316538,0.3
,,,"Ponto De Carregamento Para Veículos Elétricos, Avenida João Naves de Ávila, 3370, Saraiva, Uberlândia - MG, 38408-144, Brasil",Uberlândia,,MG,,38408-144,-18.92654,-48.25911,,,,,,Concessionárias,Demais Praças,-18.9267256,-48.2591439,0.3
,,,"Rua Nicolau Cheuen, 3993, Centro, São João de Meriti - RJ, 25510-310, Brasil",São João de Meriti,,RJ,,25510-310,-22.79326,-43.36668,,,,,,Concessionárias,Demais Praças,-22.7932589,-43.3666157,0.3
,,,"Composit Filmes, Avenida José Correia Machado, Jardim Parque Morada do Sol, Montes Claros - MG, 39400-116, Brasil",Montes Claros,,MG,,39400-116,-16.72587,-43.88053,,,,,,Concessionárias,Demais Praças,-16.7258124,-43.880641,0.3
,,,"Rua José Justino de Azevedo, 1105, Conservatória, Valença - RJ, 27600-000, Brasil",Valença,,RJ,,27600-000,-22.28724,-43.91497,,,,,,Concessionárias,Demais Praças,-22.2874495,-43.91497589999999,0.3
,,,"Rua Mena Barreto, 161, Botafogo, Rio de Janeiro - RJ, 22271-100, Brasil",Rio de Janeiro,,RJ,,22271-100,-22.95646,-43.1911,,,,,,Concessionárias,Demais Praças,-22.9564684,-43.19107890000001,0.3
,,,"Alameda Santos, 880, Jardim Paulista, São Paulo - SP, 01418-002, Brasil",São Paulo,,SP,,01418-002,-23.56682,-46.6519,,,,,,Concessionárias,SP,-23.5667477,-46.6518414,0.3
,,,"BMW, Avenida Engenheiro Carlos Reinaldo Mendes, 1600, Sorocaba - SP, 18103-000, Brasil",Sorocaba,,SP,,18103-000,-23.47237,-47.42362,,,,,,Concessionárias,SP,-23.472368,-47.423595,0.3
,,,"Rua Adão Dionísio Neugebauer Bortowiski, Centro, Eldorado do Sul - RS, 92990-000, Brasil",Eldorado do Sul,,RS,,92990-000,-30.00099,-51.30812,,,,,,Concessionárias,Demais Praças,-30.0009864,-51.3080583,0.3
,,,"BR-470, Salto do Norte, Blumenau - SC, Brasil",Blumenau,,SC,,,-26.86758,-49.10311,,,,,,Concessionárias,Demais Praças,-26.8672576,-49.1033134,0.3
,,,"Avenida Barão Homem de Melo, 3382, Estoril, Belo Horizonte - MG, 30494-270, Brasil",Belo Horizonte,,MG,,30494-270,-19.96529,-43.9613,,,,,,Concessionárias,Demais Praças,-19.9656623,-43.9613969,0.3
,,,"Avenida Benno Mentz, 115, Vila Ipiranga, Porto Alegre - RS, 91370-010, Brasil",Porto Alegre,,RS,,91370-010,-30.01166,-51.14787,,,,,,Concessionárias,Demais Praças,-30.0116452,-51.14798889999999,0.3
,,,"Sia Trecho 2, 2010, SIA - DF, 71200-023, Brasil",SIA,,DF,,71200-023,-15.804,-47.97002,,,,,,Concessionárias,Demais Praças,-15.8044474,-47.9699199,0.3
,,,"Rua Henrique Boiteux, 558, Estreito, Florianópolis - SC, 88075-060, Brasil",Florianópolis,,SC,,88075-060,-27.59206,-48.57435,,,,,,Concessionárias,Demais Praças,-27.5920797,-48.5744726,0.3
,,,"Avenida Brasil Oeste, 3880, Boqueirão, Passo Fundo - RS, 99025-000, Brasil",Passo Fundo,,RS,,99025-000,-28.2696,-52.44037,,,,,,Concessionárias,Demais Praças,-28.2693243,-52.4405805,0.3
,,,"Rua Desembargador Westphalen, 2447, Parolin, Curitiba - PR, 80220-030, Brasil",Curitiba,,PR,,80220-030,-25.45329,-49.2629,,,,,,Concessionárias,Demais Praças,-25.4533569,-49.262832,0.3
,,,"Rua Olegário Mariano, 40A, Centro, São João de Meriti - RJ, 25510-350, Brasil",São João de Meriti,,RJ,,25510-350,-22.7946,-43.36644,,,,,,Concessionárias,Demais Praças,-22.794576,-43.366505,0.3
,,,"Condor Hipermercados, Avenida Carlos Schmidt, 205, Jardim Apucarana, Apucarana - PR, 86804-350, Brasil",Apucarana,,PR,,86804-350,-23.54789,-51.45053,,,,,,Concessionárias,Demais Praças,-23.5481686,-51.4502642,0.3
,,,"Ponto5, Rua Carolina Florence, Jardim Nossa Senhora Auxiliadora, Campinas - SP, 13073-225, Brasil",Campinas,,SP,,13073-225,-22.88555,-47.06191,,,,,,Concessionárias,SP,-22.8855311,-47.06203180000001,0.3
,,,"BMW, Avenida das Nações Unidas, 17771, Santo Amaro, São Paulo - SP, 04795-100, Brasil",São Paulo,,SP,,04795-100,-23.642,-46.72413,,,,,,Concessionárias,SP,-23.6418361,-46.7240794,0.3
,,,"Avenida das Nações Unidas, 6787, Alto de Pinheiros, São Paulo - SP, 05425-070, Brasil",São Paulo,,SP,,05425-070,-23.56095,-46.70531,,,,,,Concessionárias,SP,-23.5608932,-46.7052949,0.3
,,,"Avenida Júlio de Mesquita, 694, Cambuí, Campinas - SP, 13025-061, Brasil",Campinas,,SP,,13025-061,-22.89941,-47.05488,,,,,,Concessionárias,SP,-22.899431,-47.054878,0.3
,,,"Rua Faustolo, 846, Lapa, São Paulo - SP, 05041-000, Brasil",São Paulo,,SP,,05041-000,-23.52388,-46.69349,,,,,,Concessionárias,SP,-23.5236917,-46.6934864,0.3
,,,"Rua Itajaí, 1373, Vorstadt, Blumenau - SC, 89015-203, Brasil",Blumenau,,SC,,89015-203,-26.91269,-49.05194,,,,,,Concessionárias,Demais Praças,-26.9124506,-49.0519891,0.3
,,,"Avenida Rudolf Dafferner, 400, Sorocaba - SP, 18085-005, Brasil",Sorocaba,,SP,,18085-005,-23.47615,-47.42688,,,,,,Concessionárias,SP,-23.476178,-47.4270013,0.3
,,,"Avenida Tancredo Neves, 1559, Pioneiros Catarinenses, Cascavel - PR, 85805-000, Brasil",Cascavel,,PR,,85805-000,-24.96596,-53.48104,,,,,,Concessionárias,Demais Praças,-24.9660582,-53.4811048,0.3
,,,"Rua Santa Cruz, 876, Vila Mariana, São Paulo - SP, 04121-000, Brasil",São Paulo,,SP,,04121-000,-23.59753,-46.62787,,,,,,Concessionárias,SP,-23.5976231,-46.62785830000001,0.3
,,,"Rua da Constituição, 518, Vila Matias, Santos - SP, 11015-472, Brasil",Santos,,SP,,11015-472,-23.94752,-46.32381,,,,,,Concessionárias,SP,-23.9474569,-46.3238704,0.3
,,,"Sopi Conjunto a, 23, Núcleo Bandeirante - DF, 71705-521, Brasil",Núcleo Bandeirante,,DF,,71705-521,-15.87014,-47.96244,,,,,,Concessionárias,Demais Praças,-15.8700526,-47.9625306,0.3
,,,"Rua João Guerra, 404, Encruzilhada, Santos - SP, 11015-130, Brasil",Santos,,SP,,11015-130,-23.95162,-46.32248,,,,,,Concessionárias,SP,-23.9516518,-46.3225214,0.3
,,,"Rua Eugênio Rocha Filho, Subsetor Sul-3, Ribeirão Preto - SP, 14020-640, Brasil",Ribeirão Preto,,SP,,14020-640,-21.21007,-47.80147,,,,,,Concessionárias,SP,-21.2100291,-47.8015749,0.3
,,,"Alameda Amazonas, 938, Alphaville, Barueri - SP, 06454-070, Brasil",Barueri,,SP,,06454-070,-23.49182,-46.84235,,,,,,Concessionárias,SP,-23.4919768,-46.8426905,0.3
,,,"Avenida Doutor Cardoso de Melo, 1513, Itaim Bibi, São Paulo - SP, 04548-005, Brasil",São Paulo,,SP,,04548-005,-23.59711,-46.68805,,,,,,Concessionárias,SP,-23.5970482,-46.6880274,0.3
,,,"Avenida das Nações Unidas, 16565, Santo Amaro, São Paulo - SP, 04794-000, Brasil",São Paulo,,SP,,04794-000,-23.63543,-46.71852,,,,,,Concessionárias,SP,-23.6355375,-46.7185654,0.3
,,,"Porsche Center Campinas, Avenida Princesa d'Oeste, 1811, Nova Campinas, Campinas - SP, 13025-320, Brasil",Campinas,,SP,,13025-320,-22.90479,-47.04653,,,,,,Concessionárias,SP,-22.904732,-47.0465069,0.3
,,,"Porsche Smart Mobility, Avenida Wladimir Meirelles Ferreira, 1586a, Subsetor Sul-4, Ribeirão Preto - SP, 14021-630, Brasil",Ribeirão Preto,,SP,,14021-630,-21.21026,-47.80115,,,,,,Concessionárias,SP,-21.210241,-47.8011689,0.3
,,,"Avenida das Américas, 10500, Barra da Tijuca, Rio de Janeiro - RJ, 22790-703, Brasil",Rio de Janeiro,,RJ,,22790-703,-23.00098,-43.41576,,,,,,Concessionárias,Demais Praças,-23.0011249,-43.4157036,0.3
,,,"Porsche Center Curitiba, Rua Desembargador Westphalen, 1783, Rebouças, Curitiba - PR, 80230-100, Brasil",Curitiba,,PR,,80230-100,-25.44768,-49.26567,,,,,,Concessionárias,Demais Praças,-25.4477094,-49.26559109999999,0.3
,,,"Avenida Marinheiro Max Schramm, 3091, Jardim Atlântico, Florianópolis - SC, 88095-000, Brasil",Florianópolis,,SC,,88095-000,-27.57766,-48.59254,,,,,,Concessionárias,Demais Praças,-27.5776766,-48.59254079999999,0.3
,,,"Avenida Sertório, 1815, São João, Porto Alegre - RS, 91020-001, Brasil",Porto Alegre,,RS,,91020-001,-30.00316,-51.18624,,,,,,Concessionárias,Demais Praças,-30.0032169,-51.1862362,0.3
,,,"Rua Gaspar Ricardo, 285, Zona 10, Maringá - PR, 87040-365, Brasil",Maringá,,PR,,87040-365,-23.423,-51.91147,,,,,,Concessionárias,Demais Praças,-23.422974,-51.911478,0.3
