Latitude,Longitude,Radius Distance,Estado,POI
-23.632001,-46.722677,0.3,SP,Resorts
-3.944276,-38.276277,0.3,Demais Praças,Resorts
-23.371699,-47.562569,0.3,SP,Resorts
-23.370600,-47.550093,0.3,SP,Resorts
-23.054087,-47.070242,0.3,SP,Resorts
-28.817604,-49.251578,0.3,Demais Praças,Marinas
-20.6141323,-46.0478758,0.3,Demais Praças,Marinas
-23.503465,-45.124357,0.3,SP,Marinas
-26.7899836,-48.6046012,0.3,Demais Praças,Marinas
-24.174704,-46.817336,0.3,SP,Marinas
-27.4863624,-48.6483316,0.3,Demais Praças,Marinas
-29.3281031,-49.7395509,0.3,Demais Praças,Marinas
-22.7721821,-53.2676175,0.3,Demais Praças,Marinas
-27.0096164,-48.6130822,0.3,Demais Praças,Marinas
-22.8463505,-50.8760925,0.3,Demais Praças,Marinas
-23.9276197,-46.2083466,0.3,SP,Marinas
-22.7713103,-53.2684885,0.3,Demais Praças,Marinas
-24.0436553,-52.3781098,0.3,Demais Praças,Marinas
-23.695678,-45.438575,0.3,SP,Marinas
-24.0006234,-46.296787,0.3,SP,Marinas
-21.74222,-52.079582,0.3,SP,Marinas
-23.707265,-45.4325699,0.3,SP,Marinas
-23.4273793,-49.7239575,0.3,SP,Marinas
-20.091674,-50.928504,0.3,SP,Marinas
-23.7100362,-45.4301173,0.3,SP,Marinas
-22.577171,-53.058244,0.3,Demais Praças,Marinas
-25.5275684,-48.5095372,0.3,Demais Praças,Marinas
-20.5849457,-46.9191613,0.3,Demais Praças,Marinas
-27.1895326,-48.506187,0.3,Demais Praças,Marinas
-20.459348,-45.435814,0.3,Demais Praças,Marinas
-18.5174539,-49.497771,0.3,Demais Praças,Marinas
-25.6972404,-48.4759771,0.3,Demais Praças,Marinas
-26.775917,-48.6470006,0.3,Demais Praças,Marinas
-26.188547,-48.571242,0.3,Demais Praças,Marinas
-23.38735139,-49.64048158,0.3,SP,Marinas
-21.0350635,-44.7593214,0.3,Demais Praças,Marinas
-30.0187489,-51.2565001,0.3,Demais Praças,Marinas
-29.3207869,-49.7239294,0.3,Demais Praças,Marinas
-27.4311146,-48.4774009,0.3,Demais Praças,Marinas
-23.630561,-45.427032,0.3,SP,Marinas
-26.202446,-48.792251,0.3,Demais Praças,Marinas
-23.9276197,-46.2083466,0.3,SP,Marinas
-30.152222,-51.32239,0.3,Demais Praças,Marinas
-23.005276,-43.312726,0.3,Demais Praças,Marinas
-24.17329962,-46.81860573,0.3,SP,Marinas
-22.769185,-53.267565,0.3,Demais Praças,Marinas
-20.6350921,-46.5054775,0.3,Demais Praças,Marinas
-22.573603,-53.055507,0.3,Demais Praças,Marinas
-23.2200216,-44.7204284,0.3,Demais Praças,Marinas
-26.827036,-48.623176,0.3,Demais Praças,Marinas
-24.492001,-54.312423,0.3,Demais Praças,Marinas
-27.0096164,-48.6130822,0.3,Demais Praças,Marinas
-25.5165725,-48.5229975,0.3,Demais Praças,Marinas
-20.0923485,-50.9303341,0.3,SP,Marinas
-22.66776778,-53.07973317,0.3,Demais Praças,Marinas
-19.8664968,-47.4407846,0.3,Demais Praças,Marinas
-26.20119225,-48.79053025,0.3,Demais Praças,Marinas
-27.36638845,-48.55692737,0.3,Demais Praças,Marinas
-22.769185,-53.267565,0.3,Demais Praças,Marinas
-23.1815565,-46.3978706,0.3,SP,Marinas
-23.1659688,-46.4014012,0.3,SP,Marinas
-23.7744403,-45.3538938,0.3,SP,Marinas
-23.692914,-45.438074,0.3,SP,Marinas
-27.5953778,-48.5480499,0.3,Demais Praças,Marinas
-22.575348,-53.057368,0.3,Demais Praças,Marinas
-24.695629,-47.570842,0.3,SP,Marinas
-22.771298,-53.266168,0.3,Demais Praças,Marinas
-23.7200915,-46.756345,0.3,SP,Marinas
-23.5727858,-45.2748091,0.3,SP,Marinas
-22.8243512,-53.2246372,0.3,Demais Praças,Marinas
-23.3793926,-45.4437621,0.3,SP,Marinas
-25.5165725,-48.5229975,0.3,Demais Praças,Marinas
-27.161408,-48.5793985,0.3,Demais Praças,Marinas
-18.41309,-49.202349,0.3,Demais Praças,Marinas
-22.7714959,-53.2639688,0.3,Demais Praças,Marinas
-26.7759715,-48.6728286,0.3,Demais Praças,Marinas
-27.0096164,-48.6130822,0.3,Demais Praças,Marinas
-29.994138,-52.379044,0.3,Demais Praças,Marinas
-27.015383,-48.6322413,0.3,Demais Praças,Marinas
-20.0807296,-47.4295515,0.3,SP,Marinas
-22.782332,-41.963238,0.3,Demais Praças,Marinas
-27.2747533,-52.3395474,0.3,Demais Praças,Marinas
-22.7713103,-53.2684885,0.3,Demais Praças,Marinas
-23.2052269,-46.1562788,0.3,SP,Marinas
-26.073244,-48.603667,0.3,Demais Praças,Marinas
-24.7290503,-47.5607692,0.3,SP,Marinas
-29.3207869,-49.7239294,0.3,Demais Praças,Marinas
-23.0057347,-44.3157591,0.3,Demais Praças,Marinas
-20.179973,-48.0309631,0.3,SP,Marinas
-26.171181,-48.600218,0.3,Demais Praças,Marinas
-23.692699,-46.715452,0.3,SP,Marinas
-27.15309,-48.5397115,0.3,Demais Praças,Marinas
-24.187511,-46.796617,0.3,SP,Marinas
-23.200919,-49.755903,0.3,SP,Marinas
-25.6972404,-48.4759771,0.3,Demais Praças,Marinas
-22.2567218,-47.8170462,0.3,SP,Marinas
-22.717719,-53.1718325,0.3,Demais Praças,Marinas
-21.3157294,-51.8325787,0.3,SP,Marinas
-23.577265,-45.2756475,0.3,SP,Marinas
-23.6934056,-45.440858,0.3,SP,Marinas
-23.0035309,-44.2370119,0.3,Demais Praças,Marinas
-23.023335,-44.357925,0.3,Demais Praças,Marinas
-25.6344713,-53.3455701,0.3,Demais Praças,Marinas
-23.3176861,-46.2241105,0.3,SP,Marinas
-25.3496458,-54.2410116,0.3,Demais Praças,Marinas
-22.769185,-53.267565,0.3,Demais Praças,Marinas
-25.6972404,-48.4759771,0.3,Demais Praças,Marinas
-23.854507,-46.141614,0.3,SP,Marinas
-20.6344447,-46.0012219,0.3,Demais Praças,Marinas
-22.95300243,-44.39366629,0.3,Demais Praças,Marinas
-22.75521391,-53.19122861,0.3,Demais Praças,Marinas
-26.7750707,-48.6711776,0.3,Demais Praças,Marinas
-23.591152,-46.66698,0.3,SP,Marinas
-22.95547,-46.392926,0.3,SP,Marinas
-25.7105736,-52.9193013,0.3,Demais Praças,Marinas
-23.9276197,-46.2083466,0.3,SP,Marinas
-20.4832016,-45.8053073,0.3,Demais Praças,Marinas
-23.628023,-46.70444,0.3,SP,Marinas
-26.45519,-48.6137043,0.3,Demais Praças,Marinas
-23.594187,-45.364945,0.3,SP,Marinas
-27.24252,-48.623302,0.3,Demais Praças,Marinas
-23.484882,-45.156847,0.3,SP,Marinas
-23.80138,-46.048418,0.3,SP,Marinas
-29.9860772,-51.2514215,0.3,Demais Praças,Marinas
-20.088833,-47.4201885,0.3,SP,Marinas
-18.1382481,-49.0408911,0.3,Demais Praças,Marinas
-23.697864,-45.439488,0.3,SP,Marinas
-22.4981391,-48.5606695,0.3,SP,Marinas
-23.630561,-45.427032,0.3,SP,Marinas
-27.016816,-48.631105,0.3,Demais Praças,Marinas
-23.854742,-46.136947,0.3,SP,Marinas
-25.517601,-48.5025844,0.3,Demais Praças,Marinas
-25.6972404,-48.4759771,0.3,Demais Praças,Marinas
-29.9759381,-50.1275202,0.3,Demais Praças,Marinas
-21.2069225,-47.806629,0.3,SP,Marinas
-18.1382481,-49.0408911,0.3,Demais Praças,Marinas
-27.007687,-48.623921,0.3,Demais Praças,Marinas
-25.942586,-52.1747755,0.3,Demais Praças,Marinas
-18.413055,-49.198284,0.3,Demais Praças,Marinas
-24.187511,-46.796617,0.3,SP,Marinas
-24.0039225,-46.2926205,0.3,SP,Marinas
-25.6972404,-48.4759771,0.3,Demais Praças,Marinas
-27.867036,-48.6041794,0.3,Demais Praças,Marinas
-23.2200216,-44.7204284,0.3,Demais Praças,Marinas
-20.082015,-47.42007,0.3,SP,Marinas
-26.1856949,-48.5695025,0.3,Demais Praças,Marinas
-25.8795802,-48.6210868,0.3,Demais Praças,Marinas
