severidade;linha;nome;endereco_dsp;risco
ALTO;2653;;Codec Comando de Defesa Civil do Estado de Goias Jardim Goias Goiania GO Brazil;sem numero de porta
ALTO;2655;;Sitio Primavera Goianira GO 75370000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2663;;Rodovia Rio Santos Piraquara Angra dos Reis RJ Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;2664;;108C Jardim Primavera Duque de Caxias RJ Brazil;sem numero de porta
ALTO;2666;;Observatorio Nuclear Usina Nuclear Angra dos Reis RJ Brazil;sem numero de porta
ALTO;2668;;Luts Chales Goncalves MG 37680000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2669;;Clube dos Loucos Filial Paraty Paraty Mirim Paraty RJ 23970000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2670;;Vinicola Santa Maria Sao Bento do Sapucai SP 12490000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2672;;Floresta da Tijuca Estrada Mirante Dona Marta Brazil;sem numero de porta
ALTO;2675;;Vinicola Jabuticabal Hidrolandia GO 75340000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2676;;Avenida Marechal Floriano Peixoto Reboucas Curitiba PR 80230110 Brazil;sem numero de porta
ALTO;2677;;Avenida Jardim Botanico Jardim Botanico Curitiba PR 81560000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2679;;Rodovia Regis Bittencourt Xaxim Curitiba PR 81460090 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;2680;;Rua Joao Sigismundo Wysocri Orleans Curitiba PR 82310435 Brazil;sem numero de porta
ALTO;2681;;Rodovia Regis Bittencourt Jardim Botanico Curitiba PR 81460090 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;2682;;Rua Deputado Mario de Barros Centro Civico Curitiba PR 80530280 Brazil;sem numero de porta
ALTO;2683;;Rodovia Br476 Pista Lateral Bairro Alto BR 476 Bairro Alto Curitiba PR 82840120 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;2684;;PR 090 Bateias Campo Largo PR Brazil;sem numero de porta
ALTO;2685;;Esquenta Corridas Santo Inacio Curitiba PR Brazil;sem numero de porta
MEDIO;4;;Rua Emilio Mallet 717 Sao Paulo SP 03320000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;5;;Avenida das Nacoes Unidas 16979 Sao Paulo SP 04794000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;6;;Avenida Tambore 973 Barueri SP 06460000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;27;;Avenida Dr Rudge Ramos 837 Sao Bernardo do Campo SP 09639000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;31;;Avenida Claricinda Alves de Rezende 197 Uberaba MG 38010000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;44;;Rua Hassib Mofarrej 382 Sao Paulo SP 05312000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;47;;Avenida Ferreira Viana 1526 Pelotas RS 96085000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;48;;Rua Serra de Braganca 606 Sao Paulo SP 03318000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;71;;Rua Jose Justino de Azevedo 1105 Valenca RJ 27600000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;74;;Avenida Engenheiro Carlos Reinaldo Mendes 1600 Sorocaba SP 18103000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;81;;Avenida Brasil Oeste 3880 Passo Fundo RS 99025000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;89;;Rua Faustolo 846 Sao Paulo SP 05041000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;92;;Avenida Tancredo Neves 1559 Cascavel PR 85805000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;93;;Rua Santa Cruz 876 Sao Paulo SP 04121000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;100;;Avenida das Nacoes Unidas 16565 Sao Paulo SP 04794000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;105;;Avenida Marinheiro Max Schramm 3091 Florianopolis SC 88095000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;113;;Rua Jacob Luchesi 5038 Caxias do Sul RS 95032000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;135;;Rua Vivandeiro Santos do Valle 43 Lages SC 88516000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;146;;Avenida Alcantara Machado 3752 Sao Paulo SP 03302000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;157;;Alameda Araguaia 260 Barueri SP 06455000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;158;;Rua Norma Pieruccini Giannotti 725 Sao Paulo SP 01138000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;162;;Rua Ipiranga 1952 Mogi das Cruzes SP 08730000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;196;;Rua Joaquim Lopes 253 Porto Rico PR 87950000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;198;;Rua Felix Walendowsky 652 Porto Belo SC 88210000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;221;;Avenida Regente Feijo 1234 Sao Paulo SP 03347000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;222;;Avenida Doutor Gastao Vidigal 1400 Sao Paulo SP 05314000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;227;;Avenida Doutor Afonso Vergueiro 3140 Sorocaba SP 18040000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;240;;Alameda dos Jacarandas 120 Lagoa Santa MG 33400000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;246;;Rua Elipio Goncalves da Silva 4000 Campos do Jordao SP 12460000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;247;;Avenida Doutor Alberto Penteado 35 Sao Paulo SP 05678000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;252;;Rua Francisco Vieira Mota 10 Aquiraz CE 61700000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;257;;Rua Doutor Avelino Queiroz 191 Capitolio MG 37930000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;259;;Avenida Sao Joao 298 Penha SC 88385000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;260;;Rua Sao Paulo 780 Itanhaem SP 11740000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;262;;Rua do Prefeito 295 Torres RS 95560000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;263;;Avenida Joao Carraro 256 Porto Rico PR 87950000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;265;;Rua Minas Gerais 474 Sertaneja PR 86340000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;271;;Avenida Agenor Nogueira 1115 Presidente Epitacio SP 19470000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;272;;Marina Flat Pier 22 Caraguatatuba SP 11667000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;273;;Rua Pedro Balbino de Souza 17 Carlopolis PR 86420000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;274;;Avenida Antonio Sindeaux de Lima 349 Santa Clara d Oeste SP 15785000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;276;;Rua Maria Francisca Pereira 1676 Rosana SP 19273000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;279;;Avenida Joao Jose da Cruz 777 Bombinhas SC 88215000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;281;;Rua Quatorze 531 Cachoeira Dourada MG 38370000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;283;;Rua A S da Silva 113 Penha SC 88385000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;284;;Rua Portugal 67 Sao Francisco do Sul SC 89240000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;285;;Alameda Pintassilgo 14 Carlopolis PR 86420000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;286;;Rua Otavio Carlos 105A Bom Sucesso MG 37220000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;288;;Rua Hespanhol 522 Passo de Torres SC 88980000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;295;;Rua Augusto de Lima 889 Itanhaem SP 11740000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;296;;Avenida Beira Rio 346 Porto Rico PR 87950000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;297;;Rua Fortaleza 25 Sao Joao Batista do Gloria MG 37920000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;299;;Rua Floresta 985 Paraty RJ 23970000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;300;;Avenida Prefeito Cirino Cabral 9515 Navegantes SC 88375000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;301;;Rua Arthur Bernardes 66 Marechal Candido Rondon PR 85960000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;304;;Avenida Euginio Jose Gomes 95 Santa Clara d Oeste SP 15785000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;305;;Avenida Maringa 11 Marilena PR 87960000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;306;;Avenida Benedito Valadares 47 Sacramento MG 38190000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;309;;Avenida Beira Rio 346 Porto Rico PR 87950000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;310;;Rua M T da Conceicao 23 Nazare Paulista SP 12960000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;312;;Avenida Forca Expedicionaria Brasileira 495 Ilhabela SP 11630000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;315;;Rua Maria Francisca Pereira 1997 Rosana SP 19273000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;320;;Avenida Parana 556 Sao Pedro do Parana PR 87955000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;321;;Rua dos Fernandes 287 Natividade da Serra SP 12180000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;323;;Avenida Governador Celso Ramos 1345 Porto Belo SC 88210000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;325;;Rua Joaquim Lopes 876 Porto Rico PR 87950000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;326;;Rua Tijucas 63 Balneario Picarras SC 88380000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;328;;Avenida Perimetral 340 Rio Pardo RS 96640000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;330;;Rua Rodrigo 245 Rifaina SP 14490000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;332;;Rua Vinte e Seis 129 Ita SC 89760000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;334;;Rua Amadeu Prianti Chaves 40 Igarata SP 12350000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;335;;Rua Ilhota 1521 Itapoa SC 89249000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;336;;Rua Tijuana 2415 Ilha Comprida SP 11925000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;337;;Rua Hespanhol 522 Passo de Torres SC 88980000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;339;;Rua Antonio Bento Peixoto 744 Miguelopolis SP 14530000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;340;;Rua Pirapua 443 Itapoa SC 89249000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;342;;Avenida Governador Celso Ramos 2825 Porto Belo SC 88210000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;343;;Rua Urcezino Ferreira 706 Itanhaem SP 11740000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;344;;Rua Wilson Rodrigues de Oliveira 522 Ribeirao Claro PR 86410000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;346;;Avenida Dois 18 Itirapina SP 13530000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;348;;Rua Fortunato Campante 1806 Pauliceia SP 17990000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;353;;Avenida Iguacu 809 Nova Prata do Iguacu PR 85685000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;354;;Rua Vereador Luiz Benedito 120 Santa Isabel SP 07500000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;355;;Avenida Iguacu 833 Sao Miguel do Iguacu PR 85877000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;356;;Avenida Beira Rio 346 Porto Rico PR 87950000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;359;;Rua Marte 473 Capitolio MG 37930000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;362;;Rua Tubarao 308 Balneario Picarras SC 88380000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;367;;Avenida Jair Leite 781 Pimenta MG 35585000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;369;;Avenida Jaragua do Sul 251 Balneario Barra do Sul SC 89247000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;372;;Rua Garca 138 Ubatuba SP 11680000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;373;;Avenida Principal 1189 Bertioga SP 11250000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;375;;Rua Josue de Paula 1550 Rifaina SP 14490000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;376;;Rua Vinte e Quatro de Julho 867 Buriti Alegre GO 75660000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;377;;Avenida Jose Herculano 7311 Caraguatatuba SP 11667000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;386;;Rua Vinte e Quatro de Julho 867 Buriti Alegre GO 75660000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;388;;Rua Marechal Deodoro 211 Mangueirinha PR 85540000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;390;;Rua Urcezino Ferreira 706 Itanhaem SP 11740000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;394;;Rua Floresta 985 Paraty RJ 23970000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;395;;Rua Calixto Jorge 381 Rifaina SP 14490000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;396;;Rua Blandina Steiner Beckhauser 922 Sao Francisco do Sul SC 89240000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;397;;Avenida Damiao Botelho de Souza 1310 Guaratuba PR 83280000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
