linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
41;;;endereco (numero de coluna propria);Rua Teodoro da Silva, Andaraí, Rio de Janeiro - RJ, 20560-005, Brasil;Rua Teodoro da Silva 630 Rio de Janeiro RJ 20560005 Brazil;Rio de Janeiro;RJ;20560005;-22.91858;-43.2506;-22.91858;-43.2506;Andaraí;;
42;;;endereco (numero de coluna propria);Avenida Delfim Moreira, Leblon, Rio de Janeiro - RJ, 22441-000, Brasil;Avenida Delfim Moreira 180 Rio de Janeiro RJ 22441000 Brazil;Rio de Janeiro;RJ;22441000;-22.9865;-43.21757;-22.9865;-43.21757;Leblon;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
43;;;endereco (numero de coluna propria);Avenida Epitácio Pessoa, Lagoa, Rio de Janeiro - RJ, 22471-003, Brasil;Avenida Epitacio Pessoa 1013 Rio de Janeiro RJ 22471003 Brazil;Rio de Janeiro;RJ;22471003;-22.97371;-43.2017;-22.97371;-43.2017;Lagoa;;
44;;;endereco (numero de coluna propria);Avenida Presidente Vargas, Centro, Rio de Janeiro - RJ, 20071-003, Brasil;Avenida Presidente Vargas 482 Rio de Janeiro RJ 20071003 Brazil;Rio de Janeiro;RJ;20071003;-22.90131;-43.1795;-22.90131;-43.1795;Centro;;
45;;;endereco (numero de coluna propria);Autosdj, Avenida Presidente Wilson, Centro, Rio de Janeiro - RJ, 20030-021, Brasil;Avenida Presidente Wilson 1509 Rio de Janeiro RJ 20030021 Brazil;Rio de Janeiro;RJ;20030021;-22.91017;-43.17199;-22.91017;-43.17199;Centro;;
46;;;endereco (numero de coluna propria);Praça Demétrio Ribeiro, 15, Copacabana, Rio de Janeiro - RJ, 22011-020, Brasil;Praca Demetrio Ribeiro 15 Rio de Janeiro RJ 22011020 Brazil;Rio de Janeiro;RJ;22011020;-22.96194;-43.17574;-22.96194;-43.17574;Copacabana;;
47;;;endereco;Avenida Vieira Souto, 530, Ipanema, Rio de Janeiro - RJ, 22420-008, Brasil;Avenida Vieira Souto 530 Rio de Janeiro RJ 22420008 Brazil;Rio de Janeiro;RJ;22420008;-22.98598;-43.2095;-22.98598;-43.2095;Ipanema;;
48;;;endereco (numero de coluna propria);Avenida Vieira Souto, Ipanema, Rio de Janeiro - RJ, 22420-002, Brasil;Avenida Vieira Souto 318 Rio de Janeiro RJ 22420002 Brazil;Rio de Janeiro;RJ;22420002;-22.98659;-43.20298;-22.98659;-43.20298;Ipanema;;
49;;;endereco (numero de coluna propria);Brs 1,2,3,I: Farani, Praia de Botafogo, Botafogo, Rio de Janeiro - RJ, 22250-145, Brasil;Brs 1 228 Rio de Janeiro RJ 22250145 Brazil;Rio de Janeiro;RJ;22250145;-22.94262;-43.18115;-22.94262;-43.18115;2 3 I: Farani Praia de Botafogo Botafogo;;
50;;;endereco (numero de coluna propria);Avenida Augusto Severo, Glória, Rio de Janeiro - RJ, 20021-040, Brasil;Avenida Augusto Severo Gloria Rio de Janeiro RJ 20021040 Brazil;Rio de Janeiro;RJ;20021040;-22.92023;-43.17474;-22.92023;-43.17474;;ALTO;sem numero de porta
51;;;endereco (numero de coluna propria);Rua Barata Ribeiro, 354, Copacabana, Rio de Janeiro - RJ, 22040-001, Brasil;Rua Barata Ribeiro 354 E 354 Rio de Janeiro RJ 22040001 Brazil;Rio de Janeiro;RJ;22040001;-22.96776;-43.18465;-22.96776;-43.18465;Copacabana;;
52;;;endereco (numero de coluna propria);Rua Fonte da Saudade, Lagoa, Rio de Janeiro - RJ, 22471-210, Brasil;Rua Fonte da Saudade Lagoa Rio de Janeiro RJ 22471210 Brazil;Rio de Janeiro;RJ;22471210;-22.96174;-43.203;-22.96174;-43.203;;ALTO;sem numero de porta
53;;;endereco (numero de coluna propria);Hmmc, Rua Mário Ribeiro, Leblon, Rio de Janeiro - RJ, 22441-060, Brasil;Rua Mario Ribeiro 152 Rio de Janeiro RJ 22441060 Brazil;Rio de Janeiro;RJ;22441060;-22.97826;-43.22368;-22.97826;-43.22368;Leblon;;
54;;;endereco (numero de coluna propria);Dr. Gisele Guimarães Rodrigues da Costa - Médico, Avenida Ataulfo de Paiva, 910, Leblon, Rio de Janeiro - RJ, 22440-033, Brasil;Avenida Ataulfo de Paiva 763 Rio de Janeiro RJ 22440033 Brazil;Rio de Janeiro;RJ;22440033;-22.98456;-43.22436;-22.98456;-43.22436;910 Leblon;;
55;;;endereco (numero de coluna propria);Avenida Atlântica, Copacabana, Rio de Janeiro - RJ, 22010-000, Brasil;Avenida Atlantica 956 Rio de Janeiro RJ 22010000 Brazil;Rio de Janeiro;RJ;22010000;-22.96469;-43.17233;-22.96469;-43.17233;Copacabana;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
56;;;endereco (numero de coluna propria);Avenida Atlântica, 2964, Copacabana, Rio de Janeiro - RJ, 22070-000, Brasil;Avenida Atlantica 131 Rio de Janeiro RJ 22070000 Brazil;Rio de Janeiro;RJ;22070000;-22.97511;-43.18777;-22.97511;-43.18777;2964 Copacabana;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
57;;;endereco;Avenida Atlântica, 3484, Copacabana, Rio de Janeiro - RJ, 22070-001, Brasil;Avenida Atlantica 3484 Rio de Janeiro RJ 22070001 Brazil;Rio de Janeiro;RJ;22070001;-22.97945;-43.18971;-22.97945;-43.18971;Copacabana;;
58;;;endereco;Avenida Atlântica, 4160, Copacabana, Rio de Janeiro - RJ, 22070-002, Brasil;Avenida Atlantica 4160 Rio de Janeiro RJ 22070002 Brazil;Rio de Janeiro;RJ;22070002;-22.98529;-43.18962;-22.98529;-43.18962;Copacabana;;
59;;;endereco (numero de coluna propria);Avenida Lauro Sodré, Botafogo, Rio de Janeiro - RJ, 22290-070, Brasil;Avenida Lauro Sodre 116 Rio de Janeiro RJ 22290070 Brazil;Rio de Janeiro;RJ;22290070;-22.95681;-43.17745;-22.95681;-43.17745;Botafogo;;
60;;;endereco (numero de coluna propria);Brs 1,2: Demétrio Ribeiro, Avenida Princesa Isabel, Copacabana, Rio de Janeiro - RJ, 22011-010, Brasil;Brs 1 320 Rio de Janeiro RJ 22011010 Brazil;Rio de Janeiro;RJ;22011010;-22.96199;-43.17486;-22.96199;-43.17486;2: Demétrio Ribeiro Avenida Princesa Isabel Copacabana;;
61;;;endereco;Rua Conde de Bonfim, 302, Tijuca, Rio de Janeiro - RJ, 20520-054, Brasil;Rua Conde de Bonfim 302 Rio de Janeiro RJ 20520054 Brazil;Rio de Janeiro;RJ;20520054;-22.92317;-43.23148;-22.92317;-43.23148;Tijuca;;
