name,storechain,place_id,formatted_address,city,admin_area,uf,country,cep,lat,lng,categories,types,rating,source,metadata,Nº,Praça,Formato,Veículo,Endereço,Latitude,Longitude
,,,"Brs 1,2,3,I: Farani, Praia de Botafogo, Botafogo, Rio de Janeiro - RJ, 22250-145, Brasil",Rio de Janeiro,,RJ,,22250-145,-22.94262,-43.18115,,,,,,228,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Praia De Botafogo,-22.94256,-43.18115
,,,"Avenida Augusto Severo, Glória, Rio de Janeiro - RJ, 20021-040, Brasil",Rio de Janeiro,,RJ,,20021-040,-22.92023,-43.17474,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Praia Do Flamengo,-22.92025,-43.17476
,,,"Rua Barata Ribeiro, 354, Copacabana, Rio de Janeiro - RJ, 22040-001, Brasil",Rio de Janeiro,,RJ,,22040-001,-22.96776,-43.18465,,,,,,354-E,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Barata Ribeiro,-22.96782,-43.18464
,,,"Rua Fonte da Saudade, Lagoa, Rio de Janeiro - RJ, 22471-210, Brasil",Rio de Janeiro,,RJ,,22471-210,-22.96174,-43.203,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Fonte Da Saudade,-22.96173,-43.20304
,,,"Hmmc, Rua Mário Ribeiro, Leblon, Rio de Janeiro - RJ, 22441-060, Brasil",Rio de Janeiro,,RJ,,22441-060,-22.97826,-43.22368,,,,,,152,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Mário Ribeiro,-22.97792,-43.22364
,,,"Dr. Gisele Guimarães Rodrigues da Costa - Médico, Avenida Ataulfo de Paiva, 910, Leblon, Rio de Janeiro - RJ, 22440-033, Brasil",Rio de Janeiro,,RJ,,22440-033,-22.98456,-43.22436,,,,,,763,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Ataulfo De Paiva,-22.98458,-43.22424
,,,"Avenida Atlântica, Copacabana, Rio de Janeiro - RJ, 22010-000, Brasil",Rio de Janeiro,,RJ,,22010-000,-22.96469,-43.17233,,,,,,956,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Atlantica,-22.96463,-43.17236
,,,"Avenida Atlântica, 2964, Copacabana, Rio de Janeiro - RJ, 22070-000, Brasil",Rio de Janeiro,,RJ,,22070-000,-22.97511,-43.18777,,,,,,131,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Atlantica,-22.97529,-43.18743
,,,"Avenida Atlântica, 3484, Copacabana, Rio de Janeiro - RJ, 22070-001, Brasil",Rio de Janeiro,,RJ,,22070-001,-22.97945,-43.18971,,,,,,3484,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Atlantica,-22.97927,-43.18944
,,,"Avenida Atlântica, 4160, Copacabana, Rio de Janeiro - RJ, 22070-002, Brasil",Rio de Janeiro,,RJ,,22070-002,-22.98529,-43.18962,,,,,,4160,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Atlantica,-22.98534,-43.18933
,,,"Avenida Lauro Sodré, Botafogo, Rio de Janeiro - RJ, 22290-070, Brasil",Rio de Janeiro,,RJ,,22290-070,-22.95681,-43.17745,,,,,,116,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Lauro Sodré,-22.9568,-43.1774
,,,"Brs 1,2: Demétrio Ribeiro, Avenida Princesa Isabel, Copacabana, Rio de Janeiro - RJ, 22011-010, Brasil",Rio de Janeiro,,RJ,,22011-010,-22.96199,-43.17486,,,,,,320,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Princesa Isabel,-22.96199,-43.17486
,,,"Rua Conde de Bonfim, 302, Tijuca, Rio de Janeiro - RJ, 20520-054, Brasil",Rio de Janeiro,,RJ,,20520-054,-22.92317,-43.23148,,,,,,302,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Conde De Bonfim,-22.9231535,-43.231498
,,,"Rua Conde de Bonfim, 470, Tijuca, Rio de Janeiro - RJ, 20520-054, Brasil",Rio de Janeiro,,RJ,,20520-054,-22.92655,-43.23557,,,,,,470,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Conde De Bonfim,-22.9264701,-43.2355339
,,,"Metrô Rio - Saens Peña, Rua General Roca, Tijuca, Rio de Janeiro - RJ, 20521-070, Brasil",Rio de Janeiro,,RJ,,20521-070,-22.9253,-43.23282,,,,,,661,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Gal Roca,-22.9253,-43.23282
,,,"Rua Visconde de Pirajá, 411, Ipanema, Rio de Janeiro - RJ, 22410-003, Brasil",Rio de Janeiro,,RJ,,22410-003,-22.98424,-43.20754,,,,,,414,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Visconde De Pirajá,-22.9840179,-43.2074723
,,,"Avenida Niemeyer, 15, Leblon, Rio de Janeiro - RJ, 22450-220, Brasil",Rio de Janeiro,,RJ,,22450-220,-22.98853,-43.2285,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Ataulfo de Paiva,-22.98839264,-43.22824567
,,,"Rua Gilberto Cardoso, 266, Leblon, Rio de Janeiro - RJ, 22430-070, Brasil",Rio de Janeiro,,RJ,,22430-070,-22.97953,-43.22023,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Gilberto Cardoso,-22.9793367,-43.2203395
,,,"Cobal Leblon, Rua Juquiá, Leblon, Rio de Janeiro - RJ, 22441-080, Brasil",Rio de Janeiro,,RJ,,22441-080,-22.98021,-43.22243,,,,,,L.O AO N°,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Adalberto Ferreira,-22.9802848,-43.2223399
,,,"Avenida Princesa Isabel, 245, Copacabana, Rio de Janeiro - RJ, 22011-011, Brasil",Rio de Janeiro,,RJ,,22011-011,-22.96294,-43.17488,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Princesa Isabel,-22.9630276,-43.1747477
,,,"Rua Marechal Mascarenhas de Morais, 92, Copacabana, Rio de Janeiro - RJ, 22030-040, Brasil",Rio de Janeiro,,RJ,,22030-040,-22.96573,-43.18168,,,,,,236,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Barata Ribeiro,-22.9657696,-43.181653
,,,"Rua Barata Ribeiro, 638, Copacabana, Rio de Janeiro - RJ, 22051-001, Brasil",Rio de Janeiro,,RJ,,22051-001,-22.97263,-43.19069,,,,,,636,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Barata Ribeiro,-22.9725873,-43.1906574
