linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
47;DAHRUJ CAMPINAS;;reenviado (ja aprovado pela DSP);13090-615 Avenida José de Souza Campos 2256 Chácara da Barra SP Campinas;Avenida Jose de Souza Campos 2256 Chacara da Barra Campinas SP 13090615 Brazil;Campinas;SP;13090615;-228.859.365;-470.438.035;-22.885936;-47.043804;;;
48;DAHRUJ INDAIATUBA;;reenviado (ja aprovado pela DSP);13338-705 Av. Presidente Vargas 3138 Vila Homero SP Indaiatuba;Av Presidente Vargas 3138 Vila Homero Indaiatuba SP 13338705 Brazil;Indaiatuba;SP;13338705;-230.866.168;-4.718.169.289.999.990;-23.086617;-47.181693;;;
49;DAHRUJ JUNDIAI;;reenviado (ja aprovado pela DSP);13215-010 Av. Antonio Frederico Ozanan 3900 PONTE DE SÃO JOAO SP Jundiaí;Av Antonio Frederico Ozanan 3900 PONTE DE SAO JOAO Jundiai SP 13215010 Brazil;Jundiaí;SP;13215010;-231.818.277;-468.773.013;-23.181828;-46.877301;;;
50;DAHRUJ LIMEIRA;;endereco;13486-190 Avenida Major José Levy Sobrinho 2565 Jardim Nereide SP Limeira;Avenida Major Jose Levy Sobrinho 2565 Limeira SP 13486190 Brazil;Limeira;SP;13486190;-225.498.669;-473.795.316;-22.549867;-47.379532;Jardim Nereide;;
51;DAHRUJ PIRACICABA;;reenviado (ja aprovado pela DSP);13420-355 Avenida Doutor Cássio Paschoal Padovani 861 Morumbi SP Piracicaba;Avenida Doutor Cassio Paschoal Padovani 861 Morumbi Piracicaba SP 13420355 Brazil;Piracicaba;SP;13420355;-227.276.058;-476.195.242;-22.727606;-47.619524;;;
52;DAHRUJ VILA LEOPOLDINA;;reenviado (ja aprovado pela DSP);05314-000 Avenida Doutor Gastão Vidigal 1687 Vila Leopoldina SP São Paulo;Avenida Doutor Gastao Vidigal 1687 Vila Leopoldina Sao Paulo SP 05314000 Brazil;São Paulo;SP;05314000;-235.320.864;-4.673.569.639.999.990;-23.532086;-46.735696;;;
53;DESTAQUE CARAGUATATUBA;;reenviado (ja aprovado pela DSP);11672-150 Rua Ministro Dilson Funaro 425 Pontal de Santa Marina SP Caraguatatuba;Rua Ministro Dilson Funaro 425 Pontal de Santa Marina Caraguatatuba SP 11672150 Brazil;Caraguatatuba;SP;11672150;-23.648.041;-454.319.001;-23.648041;-45.4319;;;
54;DESTAQUE MOGI DAS CRUZES;;reenviado (ja aprovado pela DSP);08735-000 Av. Fernando Costa 863 CENTRO SP Mogi das Cruzes;Av Fernando Costa 863 CENTRO Mogi das Cruzes SP 08735000 Brazil;Mogi das Cruzes;SP;08735000;-235.319.998;-462.078.841;-23.532;-46.207884;;;
55;DESTAQUE POA;;reenviado (ja aprovado pela DSP);08557-700 Rodovia João Afonso de Souza Castelano 2040 VILA LUCIA SP Poá;Rodovia Joao Afonso de Souza Castelano 2040 VILA LUCIA Poa SP 08557700 Brazil;Poá;SP;08557700;-235.097.041;-463.408.266;-23.509704;-46.340827;;;
56;DINISA NITEROI;;reenviado (ja aprovado pela DSP);24350-310 Est. Francisco da Cruz Nunes 1482 PIRATININGA RJ Niterói;Est Francisco da Cruz Nunes 1482 PIRATININGA Niteroi RJ 24350310 Brazil;Niterói;RJ;24350310;-229.291.882;-430.648.259;-22.929188;-43.064826;;;
57;DRSUL ARARANGUÁ;;endereco;88900-000 477 SC Araranguá;477 Ararangua SC 88900000 Brazil;Araranguá;SC;88900000;-289.370.964;-494.840.256;-28.937096;-49.484026;;ALTO;"logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
58;DRSUL BENTO GONCALVES;;reenviado (ja aprovado pela DSP);95700-000 Rua Luiz Alegretti 373 LICORSUL RS Bento Gonçalves;Rua Luiz Alegretti 373 LICORSUL Bento Goncalves RS 95700000 Brazil;Bento Gonçalves;RS;95700000;-29.178.856;-515.310.508;-29.178856;-51.531051;;;
59;DRSUL CAXIAS DO SUL;;reenviado (ja aprovado pela DSP);95054-030 Av. Rubens Bento Alves 492 SAGRADA FAMÍLIA RS Caxias do Sul;Av Rubens Bento Alves 492 SAGRADA FAMILIA Caxias do Sul RS 95054030 Brazil;Caxias do Sul;RS;95054030;-291.530.731;-511.544.697;-29.153073;-51.15447;;;
60;DRSUL CRICIÚMA;;reenviado (ja aprovado pela DSP);88813-390 Avenida Jorge Elias de Lucca 85 Nossa Senhora da Salete SC Criciúma;Avenida Jorge Elias de Lucca 85 Nossa Senhora da Salete Criciuma SC 88813390 Brazil;Criciúma;SC;88813390;-286.884.542;-493.400.896;-28.688454;-49.34009;;;
61;DRSUL IJUI;;reenviado (ja aprovado pela DSP);98700-000 Rod. BR 285 Hammarsfron RS Ijuí;Rod BR 285 Hammarsfron Ijui RS 98700000 Brazil;Ijuí;RS;98700000;-283.958.804;-538.969.032;-28.39588;-53.896903;;;
62;DRSUL LAGES;;reenviado (ja aprovado pela DSP);88509501 Avenida Presidente Vargas 1494 Coral SC Lages;Avenida Presidente Vargas 1494 Coral Lages SC 88509501 Brazil;Lages;SC;88509501;-278.104.274;-503.033.602;-27.810427;-50.30336;;;
63;DRSUL LAJEADO;;reenviado (ja aprovado pela DSP);99913-176 Estrada BR 386 1951 São Cristovão RS Lajeado;Estrada BR 386 1951 Sao Cristovao Lajeado RS 99913176 Brazil;Lajeado;RS;99913176;-29.453.735;-5.195.983.529.999.990;-29.453735;-51.959835;;;
64;DRSUL RIO DO SUL;;endereco;89163-020 Rodovia BR-470 7150 Canta Galo SC Rio do Sul;Rodovia BR 470 7150 Rio do Sul SC 89163020 Brazil;Rio do Sul;SC;89163020;-272.027.554;-496.426.587;-27.202755;-49.642659;Canta Galo;ALTO;endereco de rodovia (57-67% falharam)
