linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
1421;Granja Film Academy;;endereco;R. das Flôres, 312 - Pitas, Cotia - SP, 06704-482, Brazil;Rua das Flores 312 Cotia SP 06704482 Brazil;Cotia;SP;06704482;-23.5706718;-46.9129125;-23.570672;-46.912912;- Pitas;;
1422;CHÁCARA DOS BASTOS;;endereco;MOREIRA, UMIRIM - STATE OF CEARÁ, 62660-000;MOREIRA Umirim CE 62660000 Brazil;Umirim;CE;62660000;-3.7428496;-39.4400305;-3.74285;-39.44003;;ALTO;"sem numero de porta; logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
1423;CINE ITAGUARI - GRUPO IMPERIAL;;endereco;A SHOPPING ITAGUARÍ - AV. DOIS DE JULHO, 96 - LOJA 242 - ERNESTO MELO, SANTO ANTÔNIO DE JESUS - BA, 44440-900;A SHOPPING ITAGUARI AV DOIS DE JULHO 96 Santo Antonio de Jesus BA 44440900 Brazil;Santo Antônio de Jesus;BA;44440900;-12.9658633;-39.2676855;-12.965863;-39.267685;- - ERNESTO MELO;;
1424;ERI ANDRADE CRIAÇÕES E PROPRIEDADES INTELECTUAIS;;endereco;R. CAP. JOÃO RAMOS, 59 - CENTRO, CAÇAPAVA - SP, 12281-520;Rua CAP JOAO RAMOS 59 Cacapava SP 12281520 Brazil;Caçapava;SP;12281520;-23.1013146;-45.7079001;-23.101315;-45.7079;- CENTRO;;
1425;PH STUDIOS;;endereco;R. CARMO GIFONI, 1001 - MARTINS, UBERLÂNDIA - MG, 38400-358;Rua CARMO GIFONI 1001 Uberlandia MG 38400358 Brazil;Uberlândia;MG;38400358;-18.9084604;-48.2844494;-18.90846;-48.284449;- MARTINS;;
1426;CINEMA SERTÃOZINHO - STAR CINE;;endereco;AV. ANTÔNIO PASCHOAL, 840 - CENTRO, SERTÃOZINHO - SP, 14170-480;Avenida ANTONIO PASCHOAL 840 Sertaozinho SP 14170480 Brazil;Sertãozinho;SP;14170480;-21.1399061;-47.9944861;-21.139906;-47.994486;- CENTRO;;
1427;PREMIER CINEMAS - LEM;;endereco;R. GOIÁS, 100 - MIMOSO DO OESTE, LUÍS EDUARDO MAGALHÃES - BA;Rua GOIAS 100 Luis Eduardo Magalhaes BA Brazil;Luís Eduardo Magalhães;BA;;-12.0910025;-45.8039209;-12.091003;-45.803921;- MIMOSO DO OESTE;;
1428;CINE SÃO JOSÉ;;endereco;R. RODOLFO ZAROS - JARDIM PAULISTA, OSVALDO CRUZ - SP, 17700-000;Rua RODOLFO ZAROS JARDIM PAULISTA Osvaldo Cruz SP 17700000 Brazil;Osvaldo Cruz;SP;17700000;-21.7986137;-50.8763041;-21.798614;-50.876304;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
1429;CENTRO TEMATICO DE CINEMA DE SANTOS;;endereco;PRAÇA IGUATEMY MARTINS, 61 - VILA NOVA, SANTOS - SP, 11013-350;PRACA IGUATEMY MARTINS 61 Santos SP 11013350 Brazil;Santos;SP;11013350;-23.9407697;-46.3187597;-23.94077;-46.31876;- VILA NOVA;;
1430;ESCOLA DE ARTES CÊNICAS DE SANTOS;;endereco;AV. ANA COSTA, 275 - CONJ 12A - GONZAGA, SANTOS - SP, 11060-001;Avenida ANA COSTA 275 Santos SP 11060001 Brazil;Santos;SP;11060001;-23.9558268;-46.3311312;-23.955827;-46.331131;- CONJ 12A - GONZAGA;;
