severidade;linha;nome;endereco_dsp;risco
MEDIO;235;CINEMA CINEMARK;STUDIO 5 SHOPPING AV RODRIGO OTAVIO 555 Manaus AM 69077000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;252;CINEMA CINEMARK;AVENIDA DOM PEDRO I 7181 Taubate SP 12091000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;253;CINE + ARTE TANÓPOLIS;Rua RAMIRO BARCELOS 1756 Montenegro RS 95780000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;258;CINEMARK PRIME;Avenida DAS AMERICAS 3900 Rio de Janeiro RJ 22631000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;264;CINEMARK CARIOCA SHOPPING;Avenida VICENTE DE CARVALHO 909 Rio de Janeiro RJ 21210000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;266;VILLA ROMANA SHOPPING;Avenida ME BENVENUTA 687 Florianopolis SC 88035000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;268;CINÉPOLIS ESTAÇÃO BH;Avenida CRISTIANO MACHADO 11833 Belo Horizonte MG 31565000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;269;KINOPLEX NOVA AMÉRICA;Avenida PASTOR MARTIN LUTHER KING JR 126 Rio de Janeiro RJ 20765000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;294;CINEMARK;Avenida IPIRANGA 5200 Porto Alegre RS 90610000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;306;CENTERPLEX ITAPEVI CENTER;Avenida RUBENS CARAMEZ 200 Itapevi SP 06683000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;320;CINE A SÃO LOURENÇO;Avenida COMENDADOR COSTA 289 Sao Lourenco MG 37470000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;331;Q ATACAREJO - CAÇADOR;Rua ONIO PEDRASSANI 645 Cacador SC 89500000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;333;KINOPLEX VILA OLÍMPIA;Rua OLIMPIADAS 360 Sao Paulo SP 04551000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;337;MARIA CINEMAQUE - DEPÓSITO;2416 LOTEAMENTO ELDOURADO AV ANGELO COLOVINI 2090 Eldorado do Sul RS 92990000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;338;CINEPLEX CINEMAS PAULÍNIA SHOPPING;Avenida JOSE LOZANO ARAUJO 1515 Paulinia SP 13140000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
